probe,f,T,b,mu_real,mu_imag
R29.5x19x14.9,59629.0,30.145,0.0401250199192159,3955.516035056361,333.48617320056104
R29.5x19x14.9,58929.0,30.154,0.049833822497778,4050.789995939489,380.2418709263076
R29.5x19x14.9,58329.0,30.154,0.058501745721594,4138.476021194162,424.0091154036397
R29.5x19x14.9,57929.0,30.147,0.0665719474078616,4239.539938993215,458.0792745752133
R29.5x19x14.9,57529.0,30.158,0.0743322126117532,4303.405675301437,488.75511573677215
R29.5x19x14.9,57029.0,30.141,0.0824242765936766,4374.826564371798,519.029004622345
R29.5x19x14.9,56529.0,30.16,0.0907110414632946,4438.799514101053,546.1451964432626
R29.5x19x14.9,56129.0,30.155,0.0985965290269566,4518.790082492179,576.3650828102333
R29.5x19x14.9,55829.0,30.159,0.105008935776953,4549.653667304664,598.5879421405932
R29.5x19x14.9,55529.0,30.159,0.1116863362082652,4584.620622099063,624.8292829636554
R29.5x19x14.9,55329.0,30.146,0.1180471052145461,4612.455494220963,655.5992417175701
R29.5x19x14.9,54929.0,30.161,0.1256654048558045,4669.629128961427,685.5499879201715
R29.5x19x14.9,54729.0,30.152,0.1315268282874626,4713.458736031504,713.1201967649939
R29.5x19x14.9,54429.0,30.159,0.1375265391158026,4747.643148795055,743.8005949107411
R29.5x19x14.9,54329.0,30.159,0.1428868032971249,4781.505975922721,763.9112195480322
R29.5x19x14.9,54129.0,30.15,0.1482845779371251,4802.226160025189,786.1968563625564
R29.5x19x14.9,53929.0,30.154,0.1520125574245342,4774.738607949629,809.3889259543597
R29.5x19x14.9,53829.0,30.152,0.1565289727221936,4790.477378804929,829.852711453273
R29.5x19x14.9,53629.0,30.156,0.1619806434244213,4818.347296223513,850.3751756270651
R29.5x19x14.9,53529.0,30.164,0.1665819155161542,4836.193941011534,865.5374650918834
R29.5x19x14.9,53329.0,30.16,0.1716929414624916,4860.604069498249,886.9187803465576
R29.5x19x14.9,53229.0,30.181,0.1759665284182541,4874.536428011038,902.026705776056
R29.5x19x14.9,53129.0,30.166,0.1804676900813013,4901.459763348924,919.6107004481856
R29.5x19x14.9,52929.0,30.162,0.1850793184421482,4896.500886310188,930.0307365778835
R29.5x19x14.9,52829.0,30.151,0.1891351379327549,4898.771427907799,940.0513515649808
R29.5x19x14.9,52829.0,30.162,0.1922703714105316,4911.987006033002,955.8044729645012
R29.5x19x14.9,52729.0,30.156,0.1958971316986662,4911.711591052257,969.6735789026676
R29.5x19x14.9,52229.0,30.156,0.2033704715129591,4941.458248769222,977.0632205057016
R29.5x19x14.9,52229.0,30.162,0.2065977449077438,4936.969547641029,984.1371628607544
R29.5x19x14.9,52229.0,30.16,0.2085957641817048,4924.543741282545,1001.3260971432912
R29.5x19x14.9,52229.0,30.164,0.2114466079164531,4918.269860279492,1005.534437126366
R29.5x19x14.9,52229.0,30.176,0.2147595010012454,4930.832345392551,1015.77444947243
R29.5x19x14.9,52229.0,30.176,0.2170413336920835,4929.564220656641,1025.5826296789342
R29.5x19x14.9,52229.0,30.163,0.2193447097264391,4913.148947439484,1031.7033234653472
R29.5x19x14.9,52229.0,30.164,0.221847059678843,4905.825251697379,1036.038304282995
R29.5x19x14.9,52129.0,30.164,0.2249675647364572,4900.260061042623,1051.9310435135578
R29.5x19x14.9,52029.0,30.17,0.2278007853178679,4884.920568369654,1056.1918363460522
R29.5x19x14.9,52029.0,30.147,0.2302912039649478,4880.540197817481,1061.7356333765524
R29.5x19x14.9,52029.0,30.16,0.231381707951583,4860.288203485177,1071.6996963065303
R29.5x19x14.9,52029.0,30.166,0.2332045958708603,4853.832583034209,1080.5627138238212
R29.5x19x14.9,51929.0,30.158,0.2366687945641946,4857.976362156218,1085.9345696940652
R29.5x19x14.9,51929.0,30.151,0.2381951089605433,4843.080034657715,1082.6932440477656
R29.5x19x14.9,51929.0,30.158,0.2393565385842068,4819.344561188752,1085.634049684289
R29.5x19x14.9,51829.0,30.16,0.2424717999537463,4818.207212580946,1090.5813535342763
R29.5x19x14.9,51829.0,30.158,0.2431328270924479,4789.64834952626,1092.2863839989825
R29.5x19x14.9,51829.0,30.154,0.2449262791379236,4788.307202326627,1092.7499868612358
R29.5x19x14.9,51829.0,30.164,0.2462870353572258,4784.932762043992,1096.208482543459
R29.5x19x14.9,51829.0,30.168,0.2479601968978343,4752.086701402192,1100.446926853267
R29.5x19x14.9,51829.0,30.154,0.2485333204122748,4737.818700264492,1104.2800016217484
R29.5x19x14.9,51829.0,30.168,0.2498263101907156,4727.962069640554,1103.398612154184
R29.5x19x14.9,51829.0,30.172,0.2506719197233502,4722.834139819933,1108.086829604214
R29.5x19x14.9,51829.0,30.175,0.2515205980207093,4705.966234897945,1105.2661207357098
R29.5x19x14.9,51829.0,30.182,0.2519532938468829,4686.777971323489,1108.469278240731
R29.5x19x14.9,51829.0,30.18,0.2532302550360182,4696.041318113459,1112.8547434219786
R29.5x19x14.9,51829.0,30.18,0.2543173839609891,4684.640403412785,1112.031244829239
R29.5x19x14.9,51729.0,30.161,0.2577765073077647,4676.7549987150105,1112.849517106865
R29.5x19x14.9,87413.0,30.113,0.0406959175106797,3988.1217402612106,378.9602565486309
R29.5x19x14.9,86913.0,30.121,0.0488877151026163,4061.527072495648,417.30550866013806
R29.5x19x14.9,85913.0,30.111,0.0575358471257907,4160.565647631785,467.1846638387551
R29.5x19x14.9,85013.0,30.112,0.0662297670420001,4260.490808307195,513.5206249547452
R29.5x19x14.9,84413.0,30.127,0.0736106013713997,4315.129830002131,549.0127926237732
R29.5x19x14.9,83813.0,30.126,0.0812434452230437,4390.547465983559,587.4178035953554
R29.5x19x14.9,83213.0,30.042,0.0885170638307456,4448.09768784324,621.7293973578148
R29.5x19x14.9,82713.0,30.129,0.095446133764608,4491.299556142155,648.3827384213351
R29.5x19x14.9,82313.0,30.129,0.100536848532377,4478.332352390887,675.3317311496783
R29.5x19x14.9,81813.0,30.12,0.1062645628419923,4455.359072366592,704.6988982216293
R29.5x19x14.9,81513.0,30.126,0.1140038959494652,4563.514588619394,729.019021614026
R29.5x19x14.9,81013.0,30.127,0.1206072085926461,4601.665630765151,756.3175737491179
R29.5x19x14.9,80813.0,30.118,0.1256364750774276,4633.448195697671,785.7512858070613
R29.5x19x14.9,80513.0,30.151,0.131411375105213,4677.642097375108,812.7902248484651
R29.5x19x14.9,80213.0,30.135,0.1367796580251453,4695.750349273274,834.0715456365925
R29.5x19x14.9,80013.0,30.12,0.1417161303456699,4723.712493570498,862.2001202323682
R29.5x19x14.9,79613.0,30.147,0.1474643995032384,4751.984630971532,890.0586541763906
R29.5x19x14.9,79413.0,30.135,0.152116254280822,4777.410404701834,916.6867450933446
R29.5x19x14.9,79313.0,30.141,0.15613082360266,4766.582264627035,929.9995256683012
R29.5x19x14.9,79013.0,30.143,0.1612711660057247,4794.85966611142,953.7625887251544
R29.5x19x14.9,78913.0,30.147,0.1654211772451342,4814.520371105957,982.452385156022
R29.5x19x14.9,78613.0,30.132,0.170384171577441,4843.745988154638,1007.3318739999096
R29.5x19x14.9,78513.0,30.149,0.1742857830784814,4853.120486564087,1022.173243075892
R29.5x19x14.9,78413.0,30.131,0.1772187470472996,4842.865231101961,1041.7890207740672
