f,T,b,mu_real,mu_imag
50000,25.0,0.040505991022567,10846.969313658214,1684.0540260243686
50000,25.0,0.0496398921229414,10904.60722631316,1836.278145116383
50000,25.0,0.0613866102930883,10839.21150499266,2112.383309095533
50000,25.0,0.0775179633799319,10968.683089345912,2380.870418996981
50000,25.0,0.0979934982127101,10922.158342600096,2713.630242094634
50000,25.0,0.1229246741735802,10845.507126389144,3112.8675417742406
50000,25.0,0.153985220584997,10935.540371352403,3587.56889598599
50000,25.0,0.1920198629897554,10731.31072959998,3931.955135403966
63000,25.0,0.0316826914270517,10955.944549144137,2153.295447867654
63000,25.0,0.0390578992417919,10952.29254880724,2249.328816289087
63000,25.0,0.0483501453187008,10701.850541902688,2423.147779674684
63000,25.0,0.0611422339106569,10782.70870138801,2664.488455684769
63000,25.0,0.0770895853800113,10751.327126756461,2890.109926378247
63000,25.0,0.0972549716747948,10556.88870065119,3168.610849590163
63000,25.0,0.122144503187878,10492.267386784975,3480.166802754533
63000,25.0,0.152772102341718,10447.3663949453,3853.2558073528485
63000,25.0,0.1908100702371196,10112.310260368462,4085.036528156267
79000,25.0,0.0244813485541273,10646.782911492031,2473.3655562939916
79000,25.0,0.0310583360394363,10714.96298017359,2611.8047584358774
79000,25.0,0.0384402965365697,10459.635440632463,2679.81314284368
79000,25.0,0.0487872258766121,10438.54509870467,2870.347835711491
79000,25.0,0.0612740942953078,10379.013354508505,3064.2978591499764
79000,25.0,0.0771394925090786,10227.79605843369,3273.4209199889615
79000,25.0,0.0967864341412742,10094.450771490521,3506.600803381745
79000,25.0,0.1216159742297689,9953.656144046252,3767.724265421524
79000,25.0,0.1527673581179556,9800.135491345574,4070.438738383128
79000,25.0,0.1905993167468823,9605.663043338347,4309.940955887107
99000,25.0,0.0196136305016212,10353.174201234104,2922.2162064190343
99000,25.0,0.0246666324932097,10322.782690547596,3007.7089575797936
99000,25.0,0.0304968675403425,10154.586519076207,3065.598421649272
99000,25.0,0.0387406334331481,10106.92842939309,3179.2734474034874
99000,25.0,0.0486094127683046,9972.729428022596,3305.2092179804167
99000,25.0,0.0611435930337792,9814.36482322429,3493.822523554054
99000,25.0,0.0764182726540277,9714.573895113277,3668.4779818230595
99000,25.0,0.0964638348810441,9513.375646719032,3859.3397381693744
99000,25.0,0.1210023153634213,9262.696787473686,4037.455962795838
99000,25.0,0.152371479561701,9202.397601088338,4316.774637262351
99000,25.0,0.1910426944536037,9016.213130133301,4534.696148723481
125000,25.0,0.0158219535204146,9945.080352496481,3486.434884988198
125000,25.0,0.0196247504184065,9924.025315602277,3541.830587201186
125000,25.0,0.0242584870962084,9704.073087399554,3512.5164921620035
125000,25.0,0.0308436848517176,9705.111039934302,3628.0003063998834
125000,25.0,0.0386482260578046,9603.669499244766,3689.7400404172968
125000,25.0,0.0487123782145399,9354.371152134194,3800.2956445324353
125000,25.0,0.0610934613677955,9231.782460260854,3939.5523587836856
125000,25.0,0.0763899217180942,9069.31947854579,4047.3321911053085
125000,25.0,0.096329262206469,8784.743783655307,4164.052071204222
125000,25.0,0.1215706669070294,8670.252147179941,4378.430018208739
125000,25.0,0.1522672309878033,8542.66481344003,4543.400219989222
125000,25.0,0.1902076026065843,8321.041797656218,4693.319733151242
