f,T,b,mu_real,mu_imag
25000,25,0.05,3677.592147525308,71.00399979937536
25000,25,0.1,3701.4618073892275,175.7659286172648
25000,25,0.2,3740.2569446671428,388.40803513181356
25000,25,0.3,3782.6564653661208,496.8216468039371
25000,30,0.05,3706.9750154566123,67.7415332097068
25000,30,0.1,3731.8972065409985,156.25649595041028
25000,30,0.2,3773.120777030829,360.89107101152297
25000,30,0.3,3816.971277919992,467.9663427054379
25000,40,0.05,3758.201531333228,66.91284158770384
25000,40,0.1,3783.9738998379303,145.00085941593557
25000,40,0.2,3826.112580640724,356.5161282434771
25000,40,0.3,3871.7581890847864,457.2023269097005
25000,50,0.05,3799.3385722374405,75.78488247437036
25000,50,0.1,3825.0329673636556,159.46059713200677
25000,50,0.2,3866.3622137519083,379.12338161720555
25000,50,0.3,3914.08771613302,463.9896899136292
25000,60,0.05,3830.333324825333,93.95379644886172
25000,60,0.1,3855.498613835393,185.94507525106354
25000,60,0.2,3895.043018780245,414.13468372797485
25000,60,0.3,3943.561448001931,491.3406566456922
25000,70,0.05,3851.283257305668,114.01253057380457
25000,70,0.1,3875.556353571712,216.96495612329733
25000,70,0.2,3910.8068316163663,470.1172347452391
25000,70,0.3,3961.40377990028,527.2463264548377
25000,80,0.05,3861.131908065261,162.48999961261725
25000,80,0.1,3883.802932849537,271.6260907021454
25000,80,0.2,3916.6491801244824,518.337514544546
25000,80,0.3,3967.0174623033067,574.1218733895952
25000,90,0.05,3860.4897063012168,210.4632719027898
25000,90,0.1,3880.1224000806205,339.826636406175
25000,90,0.2,3908.0808207525474,590.9615465648013
25000,90,0.3,3959.7249172476495,633.5103471083783
25000,100,0.05,3845.9279926902213,304.82597892891033
25000,100,0.1,3856.137800999709,486.30162359905376
25000,100,0.2,3888.8364379610107,657.8887011239635
25000,100,0.3,3942.047171757402,687.4631972992626
25000,110,0.05,3815.2360117624576,434.0765574568998
25000,110,0.1,3805.5801559683514,694.3560799840249
25000,110,0.2,3856.7953583056455,731.478624346653
25000,110,0.3,3912.316357219671,745.5903371300546
25000,120,0.05,3773.454519603126,539.3482373727223
25000,120,0.1,3746.631118676615,842.3357449710417
25000,120,0.2,3819.769728546388,771.3704363505915
25000,120,0.3,3877.871728106395,770.3087228459086
50000,25,0.05,3676.2935857304915,120.7933899025959
50000,25,0.1,3698.5336118911323,229.26468314014477
50000,25,0.2,3731.643498602843,463.91767935796344
50000,25,0.3,3763.724109229246,624.2615744346346
50000,30,0.05,3706.1648231364707,102.93194007189214
50000,30,0.1,3729.861972889854,199.00380877112968
50000,30,0.2,3766.3902218246567,425.4262099838065
50000,30,0.3,3800.293539332507,588.2442088783242
50000,40,0.05,3757.24369091362,108.05519688825146
50000,40,0.1,3781.4381012840786,200.5233403948223
50000,40,0.2,3820.0003416140876,416.9395873543249
50000,40,0.3,3855.940947983782,575.5561207551195
50000,50,0.05,3797.5816414183346,138.16877963315085
50000,50,0.1,3821.3311469064956,231.80411803674806
50000,50,0.2,3860.0277445707957,438.95001715584425
50000,50,0.3,3898.402344108014,581.229941918591
50000,60,0.05,3827.455088473122,175.6935993593714
50000,60,0.1,3849.7944064711764,280.2287640482374
50000,60,0.2,3888.0392347115053,475.4140971397091
50000,60,0.3,3927.18049675291,608.5604990168788
50000,70,0.05,3846.1323667668553,229.45021777978167
50000,70,0.1,3866.670768070657,340.3939089401065
50000,70,0.2,3903.1793561263044,529.7274794941238
50000,70,0.3,3943.651423013569,646.778207681271
50000,80,0.05,3854.6644395496505,276.23299934144933
50000,80,0.1,3872.7078630358624,399.79965225222026
