f,T,b,mu_real,mu_imag
700000,25,0.03,832.4476141146409,8.919205233217719
700000,25,0.05,869.6243961005073,17.266512129146893
700000,30,0.03,805.1302931147904,7.804245320495898
700000,30,0.05,841.0983651532036,15.658182997126909
700000,40,0.03,764.4325996898352,6.630634167989454
700000,40,0.05,798.5940516793909,13.81019397872551
700000,50,0.03,742.3283301626558,5.885248433667579
700000,50,0.05,775.50785340252,12.778155636927272
700000,50,0.1,936.2943821373601,144.20620515135386
700000,60,0.03,738.8189000319085,5.453338955566706
700000,60,0.05,771.8431500572618,12.421880916370863
700000,60,0.1,933.6343345883766,131.51672004987225
700000,70,0.03,753.9050687770507,5.265374232937641
700000,70,0.05,787.6020780269824,12.633613537171497
700000,70,0.1,953.8300981810462,125.88695593438669
700000,80,0.03,787.5877639649269,5.2028239656104915
700000,80,0.05,822.7847851343136,13.406886144532166
700000,80,0.1,997.4272050519515,123.82075106697683
700000,90,0.03,839.8676341178533,5.163290768194693
700000,90,0.05,877.392737060796,14.643817228567062
700000,90,0.1,1064.8804259059373,121.57054159130782
700000,100,0.03,910.742388076915,5.521454740338872
700000,100,0.05,951.4185273060511,16.76202579114037
700000,100,0.1,1155.4049749637406,125.89552359787038
1000000,25,0.015,825.048678195923,13.475084615151536
1000000,25,0.03,832.3447065341858,15.838938464136104
1000000,25,0.05,869.4409841188681,24.841454641226893
1000000,30,0.015,797.9835326731811,11.90048402265526
1000000,30,0.03,805.0448678078776,14.087439523480318
1000000,30,0.05,840.9725702339198,21.372287484456535
1000000,40,0.015,757.6534196528258,10.360146266603035
1000000,40,0.03,764.363265690531,12.245931607535352
1000000,40,0.05,798.4993998701702,18.490247224243195
1000000,50,0.015,735.7473239698802,9.557787870320878
1000000,50,0.03,742.267807183902,11.157433827021128
1000000,50,0.05,775.4257304828568,17.048415046391426
1000000,60,0.015,732.2686016555504,9.305468501216922
1000000,60,0.03,738.7600869565804,10.799993982831001
1000000,60,0.05,771.7622817201097,16.707241842606084
1000000,70,0.015,747.219072731284,9.480836419760898
1000000,70,0.03,753.8436496257086,10.969449053353097
1000000,70,0.05,787.5175644680793,17.109271103472107
1000000,80,0.015,780.5981504145107,10.130182168443291
1000000,80,0.03,787.518791315103,11.649405568089136
1000000,80,0.05,822.6894159070888,18.348629351104083
1000000,90,0.015,832.4070133220383,11.151863160196877
1000000,90,0.03,839.7840199977396,12.926800327738132
1000000,90,0.05,877.2790705453299,20.34425749888215
1000000,100,0.015,902.6434989832736,12.691119702752767
1000000,100,0.03,910.640859412137,14.67682089609585
1000000,100,0.05,951.2850224392265,23.129757729777157
