f,T,b,mu_real,mu_imag
25000,25,0.05,2957.116730891929,45.902400257188354
25000,25,0.1,3541.011708377777,160.8272553591663
25000,25,0.2,4232.212848386688,498.83147220217603
25000,25,0.3,4255.830427734339,631.8534453247382
25000,30,0.05,3024.6476105009874,45.093795173861366
25000,30,0.1,3582.2465834364957,143.9559958287078
25000,30,0.2,4244.363199070161,457.79170841350054
25000,30,0.3,4267.8444848605595,587.3025618871824
25000,40,0.05,3159.6513674756116,47.29195927755573
25000,40,0.1,3663.569573206469,135.9074323177974
25000,40,0.2,4260.94654451709,443.0905600275691
25000,40,0.3,4282.625306870613,561.1660692395362
25000,50,0.05,3294.534115075526,56.9785939735392
25000,50,0.1,3743.9261367991057,152.75866121505456
25000,50,0.2,4273.726720570966,464.2237229258817
25000,50,0.3,4294.033310449709,560.0717528629181
25000,60,0.05,3429.221750457114,75.29748175722968
25000,60,0.1,3823.6221176591234,182.8760512647523
25000,60,0.2,4284.465148602596,502.2924911027797
25000,60,0.3,4301.787672190658,586.421656676512
25000,70,0.05,3563.73332852886,97.61067325748095
25000,70,0.1,3902.747058042056,220.02980709696553
25000,70,0.2,4291.354764489857,567.7638702709745
25000,70,0.3,4307.569255938787,625.4832298932361
25000,80,0.05,3697.0919386455084,148.95455774219917
25000,80,0.1,3979.684803894985,285.27335469248305
25000,80,0.2,4298.266608893525,626.5575939844018
25000,80,0.3,4310.5302218516545,680.4965354636769
25000,90,0.05,3829.517572312992,207.08992230182744
25000,90,0.1,4053.887889166741,371.2083800169377
25000,90,0.2,4298.982975353123,718.6452056985864
25000,90,0.3,4309.607473134514,754.084512238094
25000,100,0.05,3956.989307519334,322.8050945824921
25000,100,0.1,4114.54944900296,554.9076580916186
25000,100,0.2,4298.110756905004,808.9693019487052
25000,100,0.3,4307.776766478751,826.003984997431
25000,110,0.05,4075.065488266173,496.1318760421266
25000,110,0.1,4150.313870041518,831.3108920892682
25000,110,0.2,4292.245256862947,914.1917101193975
25000,110,0.3,4302.460081487478,908.9407364266929
25000,120,0.05,4187.3265148110695,667.3843873287822
25000,120,0.1,4180.705178849025,1062.8908281053466
25000,120,0.2,4291.893037437941,984.9593710545408
25000,120,0.3,4303.293425174996,957.7912127337711
50000,25,0.05,2956.4418365934007,78.09005897411922
50000,25,0.1,3538.4491058384137,209.77905120911254
50000,25,0.2,4219.652933270275,595.8083202275008
50000,25,0.3,4228.593840630439,793.9304358572557
50000,30,0.05,3024.2076226793256,68.519143316127
50000,30,0.1,3580.4470393843544,183.33824325899
50000,30,0.2,4234.733159540375,539.6547798383988
50000,30,0.3,4244.33788307071,738.2525181025678
50000,40,0.05,3159.082287255337,76.37012342794473
50000,40,0.1,3661.268690093923,187.94793646480213
50000,40,0.2,4252.467167790379,518.1869223384047
50000,40,0.3,4261.072640951313,706.4324630497707
50000,50,0.05,3293.3888605753395,103.88170486639159
50000,50,0.1,3740.4554188547872,222.06167148688448
50000,50,0.2,4265.133014549584,537.4794091391857
50000,50,0.3,4273.1924921883,701.5898832738161
50000,60,0.05,3427.1570015121947,140.80629088601947
50000,60,0.1,3818.0587228756813,275.60358751502093
50000,60,0.2,4275.096801091673,576.6165948914764
50000,60,0.3,4280.387759536151,726.3251090550514
50000,70,0.05,3559.6536103058975,196.44147993068043
50000,70,0.1,3893.6721836364795,345.2023195787948
50000,70,0.2,4281.214118167411,639.755579498073
50000,70,0.3,4284.583268520583,767.2863746347828
50000,80,0.05,3691.4163274931743,253.22274816173856
50000,80,0.1,3967.740814179985,419.8867189379985
50000,80,0.2,4284.780258775953,712.971523773867
50000,80,0.3,4286.6371141701175,817.6115090272535
50000,90,0.05,3820.0283163929694,339.8157361407259
50000,90,0.1,4036.15993784042,530.2976857384825
50000,90,0.2,4282.525730998842,810.9740546912673
50000,90,0.3,4282.284387185749,896.3260853949187
50000,100,0.05,3946.5329200573824,432.2561969643683
50000,100,0.1,4094.1461569774997,689.4975870919714
50000,100,0.2,4279.092065486564,904.1894188762719
50000,100,0.3,4278.930001729529,964.3553771015555
50000,110,0.05,4068.7905105543928,545.2057898680325
50000,110,0.1,4139.185041140616,885.059441146764
50000,110,0.2,4265.821187195149,1030.4782514883393
50000,110,0.3,4268.642931501472,1056.420152435411
50000,120,0.05,4192.160133185693,636.3164934358906
50000,120,0.1,4197.414271050637,994.8598605361389
50000,120,0.2,4262.739983985929,1104.3272324651196
50000,120,0.3,4269.029716991792,1100.4924287723884
100000,25,0.025,2585.316601952178,53.49378814159436
100000,25,0.05,2955.2890133231963,113.63642990499068
100000,25,0.1,3533.2617499702474,284.0611397781275
100000,25,0.2,4179.421497737502,832.4027726758025
