f,T,eps_real,eps_imag
100578.0,30,126620.37306299657,127836.80387648767
101451.0,30,126427.95662291454,126951.55849285852
102332.0,30,126239.43873395924,126103.34855507594
103221.0,30,126035.71317274768,125245.8476966361
104117.0,30,125866.17788795695,124404.61197544157
105021.0,30,125676.74478751341,123549.199420179
105933.0,30,125477.4892629713,122720.14319972412
106853.0,30,125289.68894615665,121903.5858676367
107781.0,30,125090.36214272134,121102.08931181063
108716.0,30,124921.15709106742,120247.49495897396
109660.0,30,124718.62054980217,119461.37235262788
110613.0,30,124539.37066670877,118661.50043194526
111573.0,30,124365.63852396731,117858.62620821773
112542.0,30,124165.7472205891,117072.54428939788
113519.0,30,123995.68935099343,116295.21132787698
114505.0,30,123805.1822856853,115511.21639663978
115499.0,30,123639.39286025475,114736.88497472162
116502.0,30,123447.61753001012,113992.79510156295
117513.0,30,123251.32305626413,113231.42909489035
118534.0,30,123080.5370061719,112480.58254153952
119563.0,30,122891.40161431112,111735.56176218129
120601.0,30,122728.68406768156,111002.47810114954
121648.0,30,122527.5691897935,110281.34427012877
122705.0,30,122347.42842944607,109530.78512365496
123770.0,30,122179.0273817646,108824.65029225635
124845.0,30,122004.67526388992,108091.03751571153
125929.0,30,121821.19028249303,107385.84568891622
127022.0,30,121653.41802658542,106690.18926493428
128125.0,30,121467.37335946385,106003.44360814783
129238.0,30,121298.4869769286,105305.7203699973
130360.0,30,121114.01576192254,104601.11103357999
131492.0,30,120948.2741973686,103924.36520913792
132634.0,30,120772.45636736514,103260.29504121459
133785.0,30,120586.73659289796,102585.63005291726
134947.0,30,120419.8837540621,101914.09628842931
136119.0,30,120255.97672491659,101260.63085908219
137300.0,30,120078.51739151753,100599.37387121034
138493.0,30,119890.94986452539,99942.20605512365
139695.0,30,119746.11099624186,99302.21343036732
140908.0,30,119581.39087870432,98662.2547759682
142132.0,30,119406.69819396095,98039.89283903231
143366.0,30,119229.74690295174,97396.39917259965
144611.0,30,119058.11630974797,96781.78679209625
145866.0,30,118901.21657682117,96157.58282954592
147133.0,30,118730.86302273603,95541.24537609957
148410.0,30,118568.65499673493,94928.90416643812
149699.0,30,118389.89620274058,94325.17488850448
150999.0,30,118223.39854223475,93733.28731239535
152310.0,30,118046.65062179897,93142.35110657116
153633.0,30,117898.790625215,92544.51897378538
154966.0,30,117735.59114818423,91954.02275397438
156312.0,30,117562.18253986267,91373.4378062336
157669.0,30,117398.8531153328,90798.34742953678
159038.0,30,117239.2306296888,90249.53263118438
160419.0,30,117078.58209322451,89662.04474578856
161812.0,30,116913.34735472806,89099.9028921608
163217.0,30,116746.85497674764,88546.97781897389
164634.0,30,116585.38226670386,87999.90778498226
166064.0,30,116435.53214199562,87439.11385829793
167506.0,30,116264.17475577487,86906.47638061359
168960.0,30,116105.95417541389,86357.812796581
170427.0,30,115953.17782482083,85819.31750847767
171907.0,30,115783.94316577571,85300.60454794172
173400.0,30,115625.7034389056,84754.83143000315
174906.0,30,115460.61471428738,84243.49102008043
176424.0,30,115312.44059235923,83720.06005664615
177956.0,30,115152.3644582452,83203.66687718882
179501.0,30,115000.52226108011,82685.87774943691
181060.0,30,114850.977770705,82182.78411210391
182632.0,30,114684.76124699514,81690.34523831055
184218.0,30,114529.22517258485,81183.07710595784
185817.0,30,114379.85543641238,80694.1847307413
187431.0,30,114211.34104094919,80210.12530522648
189058.0,30,114060.43954705737,79720.39866597456
190700.0,30,113916.6730747811,79239.62756348886
192356.0,30,113768.0933593137,78754.1447285891
194026.0,30,113602.79293265914,78288.57768091513
195711.0,30,113454.28054648022,77808.0240855437
197410.0,30,113298.19811388933,77341.85730695682
199124.0,30,113145.48480765309,76883.77729733913
200853.0,30,112994.7247662878,76426.41106800213
202597.0,30,112841.88123849401,75963.89546722907
204356.0,30,112693.47890354184,75508.37779175348
206131.0,30,112539.76765468465,75058.10050076382
207921.0,30,112400.11275426397,74604.11002830032
209726.0,30,112236.59496683761,74173.74337517256
211547.0,30,112089.13159777872,73735.82166636793
213384.0,30,111958.26128445525,73294.13582591704
215237.0,30,111789.99486400373,72872.478633364
217106.0,30,111646.88975992874,72453.65030895278
218991.0,30,111499.112007899,72009.23109711208
220892.0,30,111357.83960056696,71589.85723348011
222810.0,30,111203.52862313413,71175.3386975332
224745.0,30,111060.00222108878,70763.65278967473
226696.0,30,110909.81725797968,70350.48736940786
228665.0,30,110766.35108037415,69947.02891627258
230650.0,30,110620.68327054879,69537.59306429412
232653.0,30,110468.94391236539,69137.01250769108
234673.0,30,110335.10948310865,68738.4892958917
236711.0,30,110195.99536611066,68338.25845545433
238766.0,30,110048.9472603169,67952.75716304392
240839.0,30,109910.3958558444,67568.15199222953
242930.0,30,109761.13256389284,67179.7846888835
245040.0,30,109606.19494253266,66798.39706794874
247167.0,30,109467.13793110958,66421.06190953465
249314.0,30,109331.46658033112,66045.3833375628
251478.0,30,109193.55705495014,65667.18593827139
253662.0,30,109049.56547018494,65295.06679428479
255864.0,30,108913.46086511752,64927.256617455445
258086.0,30,108769.25097727633,64570.64453121331
260327.0,30,108634.79866518221,64190.91912886548
262588.0,30,108495.44092548784,63849.02830644262
264868.0,30,108355.62424875362,63493.59439704654
267167.0,30,108216.20461259,63140.45521050551
269487.0,30,108072.79764908085,62791.33547050952
271827.0,30,107938.87221616265,62443.18710172196
274187.0,30,107808.79860352771,62122.572221781986
276568.0,30,107672.68440494614,61752.10501169351
278970.0,30,107525.29864588966,61422.41353551476
281392.0,30,107392.54037782311,61078.380113941545
283835.0,30,107263.69793472574,60747.937946937665
286300.0,30,107118.7710553221,60418.9340196385
288786.0,30,106977.83024985112,60083.74376307417
291293.0,30,106857.66343401183,59766.01741179394
293823.0,30,106707.53832827983,59443.40287557108
296374.0,30,106573.62099197495,59116.309661971405
298947.0,30,106455.9997008653,58803.237506145044
301543.0,30,106315.53617036997,58481.052511795926
304161.0,30,106180.4677141876,58179.808828284695
306802.0,30,106052.61913848188,57867.15567926589
309466.0,30,105918.06687518509,57556.45960205297
312153.0,30,105793.62850840011,57252.04558179713
314864.0,30,105661.18710122776,56948.363519068465
317598.0,30,105525.9439338678,56653.67353459374
320355.0,30,105395.81574131727,56356.5244721563
323137.0,30,105267.23068415743,56057.39156897483
325943.0,30,105155.15676941375,55775.28494079607
328773.0,30,105010.48948279033,55471.8988857395
331628.0,30,104877.69192408837,55184.19856727619
334507.0,30,104748.1043708174,54900.73365611033
337412.0,30,104616.54175772778,54612.02131890291
340341.0,30,104498.59941123158,54324.37040697774
343297.0,30,104369.24296165029,54060.826669979804
346278.0,30,104242.91698342406,53783.50735835726
349284.0,30,104117.71601556281,53504.41378072394
352317.0,30,103986.3713141051,53232.898670947376
355376.0,30,103868.01092751086,52963.36209569846
358462.0,30,103752.66529729847,52692.52750318355
361574.0,30,103617.77002523905,52430.79526269316
364714.0,30,103497.36785334603,52161.98440500777
367881.0,30,103367.89832645794,51909.0927039278
371075.0,30,103251.90357116534,51645.21036163544
374297.0,30,103123.22590681884,51387.93025374324
377547.0,30,103006.44104660695,51124.10252798257
380825.0,30,102878.18399199912,50884.6690814307
384132.0,30,102757.81138716216,50628.176908272944
387468.0,30,102641.77299777984,50374.79412968212
390832.0,30,102522.71586653881,50131.09549741457
394225.0,30,102403.85400344244,49895.70505669062
397649.0,30,102280.51501873584,49646.66141685622
401101.0,30,102144.02631981969,49451.61114238314
404584.0,30,102039.08704483678,49166.45402422418
408097.0,30,101926.08253283359,48929.76012814271
411641.0,30,101809.18112091674,48699.720506448975
415215.0,30,101696.85983453262,48467.26655645415
418820.0,30,101576.31084586891,48242.84177355279
422457.0,30,101466.15326278891,48016.79079897893
426125.0,30,101345.36646858873,47777.68664420454
429825.0,30,101226.42855085952,47559.32928202514
433557.0,30,101113.74872329683,47338.45874505715
437322.0,30,100993.74246289812,47116.68997923647
441119.0,30,100883.87782766511,46896.810992988074
444949.0,30,100773.08793917955,46679.221861334256
448813.0,30,100654.37391794914,46470.05668939116
452710.0,30,100547.67070351675,46256.75465164637
