probe,f,T,eps_real,eps_imag
L95,107760.0,30,63042.707294229505,51926.686801970085
L95,121546.0,30,61407.17344631687,47900.36725329253
L95,137096.0,30,59826.520573306,44235.8334186503
L95,154635.0,30,58303.64514094729,40900.836179521924
L95,174418.0,30,56831.75631713041,37875.329819666396
L95,196733.0,30,55427.04881592066,35103.0822223381
L95,221901.0,30,54085.107267502186,32572.507567465018
L95,250290.0,30,52804.823795216,30252.573062033407
L95,282311.0,30,51581.113230756906,28131.616861910214
L95,318428.0,30,50423.49229568235,26190.009525731366
L95,359166.0,30,49310.0053035466,24410.041586470415
L95,405115.0,30,48258.94296003146,22777.41973614374
L95,456944.0,30,47259.49821495636,21281.39517440683
L95,515402.0,30,46313.26679822834,19907.626932089952
L95,581340.0,30,45401.013069816894,18640.920099932457
L95,655713.0,30,44544.54152116251,17477.578924592322
L95,739601.0,30,43731.657347531946,16415.60753552096
L95,834221.0,30,42958.11716947654,15444.673994075538
L95,940947.0,30,42212.80471175595,14546.806564548611
L95,1061330.0,30,41544.56966117847,13749.027047735835
L95,1197110.0,30,40894.26655417799,13014.859182217133
L95,1350260.0,30,40287.71090142941,12350.784661484204
L95,1523000.0,30,39710.65811820758,11749.617219348043
L95,1717840.0,30,39161.0315041593,11193.379469219555
L95,1937620.0,30,38641.45799609216,10469.220408362173
L95,107760.0,60,68365.92166869114,80082.42614853423
L95,121546.0,60,66659.33586403697,73183.96519875168
L95,137096.0,60,64985.6920794695,66956.2070014586
L95,154635.0,60,63339.58907168962,61362.81068517835
L95,174418.0,60,61732.91466088017,56314.216314384605
L95,196733.0,60,60152.6821161234,51751.672587847366
L95,221901.0,60,58626.352251453696,47630.66041961039
L95,250290.0,60,57152.19144158629,43895.23830975798
L95,282311.0,60,55735.93271514052,40498.36987812902
L95,318428.0,60,54369.218645603156,37414.81076329375
L95,359166.0,60,53059.9376513321,34608.60295094196
L95,405115.0,60,51811.92804250889,32048.594170401582
L95,456944.0,60,50621.031376589475,29708.013462977902
L95,515402.0,60,49479.93703381206,27574.925089499633
L95,581340.0,60,48394.551337249424,25611.19957889818
L95,655713.0,60,47363.95411623624,23822.71645334144
L95,739601.0,60,46391.256874071194,22188.6825479991
L95,834221.0,60,45465.872849722095,20696.792602324622
L95,940947.0,60,44587.664984754745,19356.12102964684
L95,1061330.0,60,43783.39602773053,18105.787016114173
L95,1197110.0,60,43021.00384837024,16989.329282313913
L95,1350260.0,60,42302.37431938284,15971.435353213277
L95,1523000.0,60,41626.989294893545,15056.793142771128
L95,1717840.0,60,40984.169467753796,14221.618301512564
L95,1937620.0,60,40402.21037069148,13209.948493242453
L95,107760.0,90,70789.57558873139,118616.01043776245
L95,121546.0,90,69344.88772697073,107356.98571172076
L95,137096.0,90,67855.98036812109,97324.70242609261
L95,154635.0,90,66359.0718590015,88384.91977818607
L95,174418.0,90,64832.13739672317,80395.44510029467
L95,196733.0,90,63325.28379860445,73224.2712343918
L95,221901.0,90,61817.51148047254,66816.24573401509
L95,250290.0,90,60335.2358190786,61047.70403833215
L95,282311.0,90,58885.29626420278,55858.69823398157
L95,318428.0,90,57477.77660852911,51173.76077211563
L95,359166.0,90,56111.29970633847,46940.21427616718
L95,405115.0,90,54792.883428828456,43112.979963329766
L95,456944.0,90,53526.42198996912,39640.34003368211
L95,515402.0,90,52306.7894284704,36492.85965677547
L95,581340.0,90,51148.67820864619,33623.40049570067
L95,655713.0,90,50040.71550416508,31017.60069751892
