probe,f,T,eps_real,eps_imag
SY4,10000.0,112,169911.85838363698,1135010.9339099885
SY4,10086.8,112,169878.5266799451,1125424.1409627357
SY4,10174.4,112,169806.95025996436,1115911.1453824872
SY4,10262.8,112,169779.54233701227,1106486.6119568008
SY4,10351.9,112,169734.6999323301,1097161.6743745676
SY4,10441.8,112,169668.39697522167,1087897.9557418767
SY4,10532.4,112,169649.40188832895,1078743.663892681
SY4,10623.9,112,169579.77060035043,1069633.3231457237
SY4,10716.1,112,169531.40569218926,1060618.6388184596
SY4,10809.2,112,169488.4668924187,1051689.8528026936
SY4,10903.0,112,169410.64858633096,1042826.685770231
SY4,10997.7,112,169393.84632112912,1034065.5587561424
SY4,11093.2,112,169356.88906640085,1025350.8568344554
SY4,11189.5,112,169305.7342976519,1016700.1875804787
SY4,11286.7,112,169261.81538720656,1008159.7229676192
SY4,11384.7,112,169205.57777754028,999678.7154279042
SY4,11483.5,112,169149.3143026991,991299.7157076168
SY4,11583.2,112,169070.62241404585,982959.6226574784
SY4,11683.8,112,169040.5775092856,974702.741268474
SY4,11785.3,112,168960.87236025886,966507.5119865668
SY4,11887.6,112,168925.75963388564,958435.4413903682
SY4,11990.8,112,168855.75910936797,950390.9603100233
SY4,12094.9,112,168826.4067619781,942411.8939711105
SY4,12199.9,112,168774.82143909248,934510.5880855822
SY4,12305.9,112,168697.01468151022,926679.9211907892
SY4,12412.7,112,168632.545164704,918896.8064569198
SY4,12520.5,112,168580.51855411328,911238.7683935189
SY4,12629.2,112,168529.19488821103,903597.6399178082
SY4,12738.9,112,168460.50647644696,896043.0726388142
SY4,12849.5,112,168414.22056165562,888569.5739128559
SY4,12961.1,112,168335.23383655064,881115.6864612823
SY4,13073.6,112,168275.00885496184,873790.452134673
SY4,13187.1,112,168214.829791081,866480.2229057107
SY4,13301.6,112,168142.69409392268,859237.0301984649
SY4,13417.1,112,168092.79605755873,852060.0222305856
SY4,13533.6,112,168051.8448246019,844953.870298876
SY4,13651.1,112,167973.50126831688,837907.8100706681
SY4,13769.7,112,167910.48474188705,830931.7201544764
SY4,13889.2,112,167840.39212612266,824034.2751875008
SY4,14009.8,112,167764.0843264182,817152.5585644429
SY4,14131.5,112,167691.28457187006,810370.2315100725
SY4,14254.2,112,167619.18588519286,803608.9104178621
SY4,14378.0,112,167554.5385993652,796964.3883914643
SY4,14502.8,112,167497.86890923133,790334.92077157
SY4,14628.7,112,167422.37308113906,783778.330979554
SY4,14755.7,112,167358.5183811421,777268.2907248557
SY4,14883.9,112,167284.95451362847,770805.165844824
SY4,15013.1,112,167216.0044312555,764421.5981258367
SY4,15143.5,112,167150.10393682693,758090.69152868
SY4,15275.0,112,167058.2513209734,751799.7857784928
SY4,15407.6,112,166985.6796001842,745596.0512087516
SY4,15541.4,112,166903.02946876443,739421.6324937947
SY4,15676.3,112,166834.08848572714,733309.8872100794
SY4,15812.4,112,166761.52231803825,727261.5682243836
SY4,15949.7,112,166671.60741185932,721273.5303943591
SY4,16088.2,112,166603.96432427288,715310.1028527952
SY4,16227.9,112,166523.87388261093,709398.9361571796
SY4,16368.8,112,166428.02591434054,703551.9310369552
SY4,16511.0,112,166362.6033051221,697744.4908262171
SY4,16654.3,112,166273.4201101136,692009.2932043991
SY4,16798.9,112,166197.75197719704,686313.5156867021
SY4,16944.8,112,166117.46499457597,680682.2131910672
SY4,17091.9,112,166010.08636463576,675073.4038433171
SY4,17240.3,112,165943.03861034426,669537.3823376627
SY4,17390.0,112,165849.00116401803,664033.5079382927
SY4,17541.0,112,165770.271067978,658582.1904541601
SY4,17693.3,112,165686.76403298814,653186.3482507861
SY4,17847.0,112,165582.86269169103,647830.9158528094
SY4,18001.9,112,165498.60465641445,642511.7255610828
SY4,18158.2,112,165404.26170579685,637271.519065459
SY4,18315.9,112,165310.4228047112,632053.5414925988
SY4,18474.9,112,165227.93655428992,626881.9371125344
SY4,18635.4,112,165131.59292042107,621776.0604230007
SY4,18797.2,112,165018.0671779154,616686.655928208
SY4,18960.4,112,164935.23081051532,611659.1341107722
SY4,19125.0,112,164851.5903738443,606670.954004051
SY4,19291.1,112,164761.57481447989,601734.5592888811
SY4,19458.6,112,164641.1424434709,596851.0141838242
SY4,19627.5,112,164554.80318983458,591977.0281999465
SY4,19798.0,112,164440.49275796508,587163.0045276954
SY4,19969.9,112,164362.71913095735,582397.1405306018
SY4,20143.3,112,164258.174442478,577677.3347676615
SY4,20318.2,112,164146.9841463273,572992.0357642703
SY4,20494.6,112,164044.41805847854,568348.9415314172
SY4,20672.6,112,163941.55698774644,563732.2850281073
SY4,20852.1,112,163836.80459512593,559180.2715848695
SY4,21033.1,112,163727.10159681478,554663.2037930031
SY4,21215.7,112,163620.19268294054,550178.534254549
SY4,21400.0,112,163536.1859641245,545741.5658018929
SY4,21585.8,112,163403.20414935148,541340.4480998635
SY4,21773.2,112,163303.63455543458,536976.6160937904
SY4,21962.3,112,163186.79209312875,532665.806647139
SY4,22153.0,112,163073.2621978402,528364.6258543591
SY4,22345.3,112,162963.05611642738,524116.11805988016
SY4,22539.3,112,162858.27961350928,519910.3481987553
SY4,22735.0,112,162720.79964093314,515729.75665396545
SY4,22932.5,112,162626.18207867318,511596.7534138783
SY4,23131.6,112,162496.8094365048,507502.6060337738
SY4,23332.4,112,162387.82700994585,503453.28655432345
SY4,23535.0,112,162272.45867654137,499417.34285646805
SY4,23739.4,112,162138.2281945504,495424.12621320714
SY4,23945.5,112,162023.21907019225,491483.54329585633
SY4,24153.4,112,161888.06567258466,487556.7868856981
SY4,24363.1,112,161770.8679348584,483664.5018659479
SY4,24574.7,112,161648.07615423843,479812.225565392
SY4,24788.1,112,161526.82830837986,475984.61172218825
SY4,25003.3,112,161389.74848413208,472211.7414686265
SY4,25220.4,112,161285.74589351634,468471.5637346743
SY4,25439.4,112,161145.82148637905,464752.66753016686
SY4,25660.3,112,161016.74397407632,461063.04713521875
SY4,25883.1,112,160883.18033161413,457402.8650277752
SY4,26107.8,112,160760.70540531605,453787.9586941417
SY4,26334.5,112,160621.74403058706,450212.7736350542
SY4,26563.2,112,160485.81876697647,446656.64311265666
SY4,26793.8,112,160359.72200314555,443138.66072294203
SY4,27026.5,112,160217.7130613762,439647.73009336024
SY4,27261.2,112,160083.64198375764,436177.24644728587
SY4,27497.9,112,159955.07449737983,432755.94385715504
SY4,27736.6,112,159805.22421318007,429352.33415242686
SY4,27977.5,112,159681.08280725832,425995.8917100064
SY4,28220.4,112,159518.84776665244,422651.80298231606
SY4,28465.4,112,159396.3943594853,419340.56134544977
SY4,28712.6,112,159242.06126153315,416052.5658690554
SY4,28961.9,112,159096.5306435547,412816.6371177711
SY4,29213.4,112,158949.92212520487,409595.91751306114
SY4,29467.1,112,158815.93650805554,406394.2286937327
SY4,29722.9,112,158666.95097521885,403239.06551563676
SY4,29981.0,112,158522.46580291612,400100.47023919906
SY4,30241.3,112,158371.20398326547,396992.76814651897
SY4,30503.9,112,158214.73749871066,393911.189523416
SY4,30768.8,112,158067.2636987372,390860.91104253783
SY4,31035.9,112,157915.766170374,387833.14173790254
SY4,31305.4,112,157775.99249478505,384835.3604984024
SY4,31577.2,112,157619.77574480206,381859.8612195983
SY4,31851.4,112,157461.386586756,378921.48973138107
SY4,32128.0,112,157308.43057853353,375995.2346658678
SY4,32407.0,112,157152.36368328755,373101.28679214016
