f,T,eps_real,eps_imag
100651.0,30,133306.3652706318,178264.34075273748
101497.0,30,133135.2571885596,177058.71501693194
102350.0,30,132949.94000368123,175856.39469715257
103210.0,30,132772.85586692992,174686.7845535947
104077.0,30,132604.62666818398,173476.6714206856
104951.0,30,132414.0453931764,172308.0319904233
105833.0,30,132219.39501464815,171142.88943323592
106722.0,30,132062.61598765609,169989.9037517081
107618.0,30,131873.7260354597,168847.15607125426
108523.0,30,131704.81135469922,167702.77637211993
109434.0,30,131520.85263108255,166589.87077035627
110354.0,30,131336.6538516065,165471.7372385115
111281.0,30,131161.16033831256,164346.27716408353
112216.0,30,130958.09233062013,163255.02114906447
113159.0,30,130791.74266610926,162172.47225371038
114109.0,30,130617.29779109186,161106.23667461277
115068.0,30,130428.99245846772,160026.6425391732
116035.0,30,130264.26926691853,158973.43834518894
117009.0,30,130093.27365962499,157886.48954013045
117992.0,30,129881.31384843419,156869.05118506355
118984.0,30,129718.5039286891,155822.89699653364
119983.0,30,129531.30421280728,154809.50480738058
120991.0,30,129348.0728591337,153778.92057820444
122008.0,30,129180.52711474242,152766.59433065774
123033.0,30,128987.88825578139,151771.0500442377
124067.0,30,128808.6492597352,150780.9101916926
125109.0,30,128623.29512219598,149785.67920126132
126160.0,30,128449.5084690533,148810.71290980038
127220.0,30,128260.12465251907,147840.0618708737
128289.0,30,128088.3268797369,146886.8061275181
129366.0,30,127902.553751025,145925.55326844894
130453.0,30,127720.08972426617,144975.0481150048
131549.0,30,127542.52566585926,144027.83683759693
132654.0,30,127376.1086099518,143102.0356933768
133769.0,30,127186.33295458133,142174.24635311897
134893.0,30,126997.78408363159,141265.8171897794
136026.0,30,126825.3706358135,140340.72150014306
137169.0,30,126659.17075608189,139453.58682593203
138321.0,30,126471.36200052084,138557.2270064427
139483.0,30,126282.017718409,137659.65429176792
140655.0,30,126105.23261006293,136777.19398887313
141837.0,30,125936.55549612464,135906.77330323664
143028.0,30,125748.6376316821,135045.35144894864
144230.0,30,125569.45404324835,134171.89316402483
145442.0,30,125391.4676803406,133338.41588351552
146664.0,30,125216.91766234663,132484.0262781045
147896.0,30,125024.05032088148,131641.98507174716
149138.0,30,124838.89481512041,130813.2228394486
150391.0,30,124663.94086434896,129993.8138292617
151655.0,30,124487.0841296106,129168.86448295262
152929.0,30,124317.96370892765,128354.30515468471
154214.0,30,124129.43775173408,127559.99494820203
155509.0,30,123944.16587139847,126758.22088980567
156816.0,30,123754.96695194195,125950.6774738195
158133.0,30,123584.98164231484,125178.42218165136
159462.0,30,123408.69857058475,124385.68223591242
