f,T,eps_real,eps_imag
99425.3,30.0,91386.94903707858,100192.7486270432
198551.0,30.0,83284.14718869318,56973.55180673989
297229.0,30.0,79539.0185323904,42137.562503002766
396504.0,30.0,77183.65562402568,34554.37479645432
499313.0,30.0,75471.0761410804,29839.52360407595
593563.0,30.0,74282.43757783821,26923.4515979453
695509.0,30.0,73310.79187880263,24684.62780226563
791814.0,30.0,72584.06812917562,23109.82526712106
888558.0,30.0,72018.02163623039,21915.351647044252
997122.0,30.0,71516.61535446988,20889.34809910942
1492680.0,30.0,70565.9139915909,18786.952537111367
99425.3,45.0,96654.56624611984,132433.33439933482
198551.0,45.0,87124.04221703143,74071.84280168102
297229.0,45.0,82874.37564041931,53928.09949134963
396504.0,45.0,80266.65658353656,43655.09328247936
499313.0,45.0,78375.14271914861,37296.08500447247
593563.0,45.0,77084.12270834677,33389.22962189943
695509.0,45.0,76013.55114030471,30378.323550852103
791814.0,45.0,75219.81799900561,28289.303900301933
888558.0,45.0,74585.45660152825,26691.21474610789
997122.0,45.0,74019.9752300463,25318.456441917016
1492680.0,45.0,72807.56232834575,22357.085748123973
99425.3,60.0,102298.4196151846,142282.0748965012
198551.0,60.0,91761.84474998884,80166.35930793147
297229.0,60.0,86848.45754769204,58757.28709786348
396504.0,60.0,83790.82255336446,47787.433092608
499313.0,60.0,81571.58056998668,40965.42071904082
593563.0,60.0,80040.25665514052,36766.17966246032
695509.0,60.0,78748.64592562713,33518.177410317934
791814.0,60.0,77790.76511673252,31248.82126306911
888558.0,60.0,77021.24789601221,29504.625919401322
997122.0,60.0,76323.70786714576,28004.09465583881
1492680.0,60.0,74636.06628925653,24714.592907161314
99425.3,75.0,108278.46578016726,181933.24895367553
198551.0,75.0,96565.35200586109,101234.71352307375
297229.0,75.0,91051.31384715218,73416.16253492994
396504.0,75.0,87606.0724673143,59199.44500006625
499313.0,75.0,85116.6392981611,50353.68209625337
593563.0,75.0,83411.23343788004,44927.34593138369
695509.0,75.0,81969.31044306213,40740.39508801666
791814.0,75.0,80889.29344003415,37800.62599571588
888558.0,75.0,80004.35755154681,35546.47499112503
997122.0,75.0,79200.57097733479,33595.32163298927
1492680.0,75.0,77132.04669234337,29128.081136493438
