probe,f,T,eps_real,eps_imag
W7A,100578.0,30,101588.3540012021,46148.384353344736
W7A,101451.0,30,101446.3053722818,45937.40976078772
W7A,102332.0,30,101302.24845215937,45699.70900706192
W7A,103221.0,30,101166.09856895273,45491.95433930039
W7A,104117.0,30,101028.53881847025,45275.861396657776
W7A,105021.0,30,100884.9983991274,45056.847865972646
W7A,105933.0,30,100749.89825623391,44843.260705456996
W7A,106853.0,30,100610.56647195184,44638.4677956539
W7A,107781.0,30,100462.65997390037,44427.28345883355
W7A,108716.0,30,100331.34168160414,44213.747968295516
W7A,109660.0,30,100201.09970123468,44008.57088339666
W7A,110613.0,30,100059.55942805305,43816.05764219444
W7A,111573.0,30,99909.04968645566,43600.814962657736
W7A,112542.0,30,99781.51222180745,43395.347998881356
W7A,113519.0,30,99643.80062035358,43192.00952330587
W7A,114505.0,30,99503.27576199414,42999.131269517595
W7A,115499.0,30,99366.81663517024,42796.16808378429
W7A,116502.0,30,99234.72980249468,42592.34670729703
W7A,117513.0,30,99103.64556674079,42401.78000335291
W7A,118534.0,30,98951.25447010857,42208.12385501131
W7A,119563.0,30,98826.18088754873,42007.65976043506
W7A,120601.0,30,98679.27734050251,41821.63727266345
W7A,121648.0,30,98540.21134482839,41635.55437945288
W7A,122705.0,30,98425.83097618714,41439.51424222814
W7A,123770.0,30,98292.4402317381,41247.500315848374
W7A,124845.0,30,98157.7364479256,41064.9004705811
W7A,125929.0,30,98017.5049401921,40876.23884140688
W7A,127022.0,30,97885.94832056527,40693.48088291905
W7A,128125.0,30,97753.71083163061,40516.100587516274
W7A,129238.0,30,97630.46204226499,40328.91017311386
W7A,130360.0,30,97493.17676825378,40156.31951301065
W7A,131492.0,30,97357.52696996275,39971.71787311219
W7A,132634.0,30,97231.80497130702,39796.41222825129
W7A,133785.0,30,97092.13630864694,39615.84596038129
W7A,134947.0,30,96969.07217384865,39429.87509619339
W7A,136119.0,30,96812.90027289125,39257.52433752354
W7A,137300.0,30,96708.64816351555,39101.302477393
W7A,138493.0,30,96571.08346804624,38929.246523258626
W7A,139695.0,30,96437.61678189332,38756.52944198123
W7A,140908.0,30,96317.53548249566,38580.24158805308
W7A,142132.0,30,96183.11171948283,38408.59064156283
W7A,143366.0,30,96058.80316991748,38237.899050577114
W7A,144611.0,30,95927.47102602932,38070.070704629325
W7A,145866.0,30,95793.63830265668,37902.63143209556
W7A,147133.0,30,95676.37185596564,37735.38592076999
W7A,148410.0,30,95539.19247471953,37570.723369804895
W7A,149699.0,30,95408.51080031585,37416.12156440016
W7A,150999.0,30,95293.02410317825,37249.988633390705
W7A,152310.0,30,95160.96370307461,37093.099613310485
W7A,153633.0,30,95036.28830449052,36931.05123948993
W7A,154966.0,30,94913.78344191471,36776.51990358488
W7A,156312.0,30,94788.79690019922,36617.39408645761
W7A,157669.0,30,94668.61541899624,36463.15386810459
W7A,159038.0,30,94535.41548753844,36303.89147589896
W7A,160419.0,30,94408.56703798703,36146.691808525706
W7A,161812.0,30,94287.85850409445,35995.41578497156
W7A,163217.0,30,94170.77519742398,35845.302026100966
W7A,164634.0,30,94042.87622118955,35699.874151763885
W7A,166064.0,30,93917.17174298446,35537.803308871335
W7A,167506.0,30,93794.80757848392,35390.85449327887
W7A,168960.0,30,93674.05891629941,35242.79432845301
W7A,170427.0,30,93551.39548288492,35095.28517489585
W7A,171907.0,30,93433.61490442061,34952.914668016325
W7A,173400.0,30,93303.14922405564,34805.94169148269
W7A,174906.0,30,93184.85236313846,34659.39405412512
W7A,176424.0,30,93065.2274875629,34513.79599060906
W7A,177956.0,30,92941.17089946834,34370.02530791442
W7A,179501.0,30,92825.9710624822,34228.00792970347
W7A,181060.0,30,92698.48210516293,34086.74693391381
W7A,182632.0,30,92580.33258672115,33944.09930019132
W7A,184218.0,30,92466.42299088545,33808.446207974644
W7A,185817.0,30,92344.01701795716,33672.361697090564
W7A,187431.0,30,92221.71436482601,33532.241150463335
W7A,189058.0,30,92108.26269551969,33397.4654225204
W7A,190700.0,30,91989.32312892693,33254.09813627546
W7A,192356.0,30,91874.56633745949,33116.55331548402
W7A,194026.0,30,91747.06148819785,32988.473131763814
W7A,195711.0,30,91639.09179762306,32855.94147442188
W7A,197410.0,30,91520.44578043077,32720.23477418941
W7A,199124.0,30,91400.10607385566,32597.891111046767
W7A,200853.0,30,91283.70847029955,32466.254030071086
W7A,202597.0,30,91164.5599870344,32338.226322938295
W7A,204356.0,30,91056.54837601367,32201.181454492762
W7A,206131.0,30,90934.36443203117,32081.926307487403
W7A,207921.0,30,90821.85950572537,31950.823746313545
W7A,209726.0,30,90707.88928339357,31818.779952770754
W7A,211547.0,30,90598.12522125641,31690.62615906533
W7A,213384.0,30,90480.51721777765,31577.368699126553
W7A,215237.0,30,90366.84981275327,31443.956556979734
W7A,217106.0,30,90255.83248916575,31327.11488781185
W7A,218991.0,30,90133.23917901743,31206.675799722725
W7A,220892.0,30,90027.48510278833,31088.08500035505
W7A,222810.0,30,89909.96395985647,30962.344956364257
W7A,224745.0,30,89800.26887255204,30850.954232586948
W7A,226696.0,30,89687.51753116222,30718.618314305426
W7A,228665.0,30,89575.49582657185,30606.030339161898
W7A,230650.0,30,89467.4141883572,30488.03704561546
W7A,232653.0,30,89356.82721738114,30367.51922911697
W7A,234673.0,30,89247.46329615865,30251.140866154907
W7A,236711.0,30,89133.13536674948,30136.788096113305
W7A,238766.0,30,89026.67273642485,30015.45698508633
W7A,240839.0,30,88919.22521909977,29905.44919417106
W7A,242930.0,30,88810.93079410582,29791.061308539312
W7A,245040.0,30,88701.20477387552,29674.187978050944
W7A,247167.0,30,88584.75528677994,29564.419674778805
W7A,249314.0,30,88485.65823715022,29453.958309135534
W7A,251478.0,30,88372.820264001,29345.827395780172
W7A,253662.0,30,88267.84146132722,29228.205063738347
W7A,255864.0,30,88163.44168755351,29127.22973303625
W7A,258086.0,30,88050.39481320254,29015.072650683058
W7A,260327.0,30,87940.0699317572,28904.55023718884
W7A,262588.0,30,87837.76142065403,28801.4632775744
W7A,264868.0,30,87735.9814721572,28693.6582044164
W7A,267167.0,30,87629.78707218921,28590.038123653165
W7A,269487.0,30,87524.08149148258,28481.032128379706
W7A,271827.0,30,87418.32253925849,28382.007839361762
W7A,274187.0,30,87289.90198014038,28263.202459576965
W7A,276568.0,30,87209.50373476706,28171.600193593342
W7A,278970.0,30,87110.46739245359,28064.407208306835
W7A,281392.0,30,87000.46696749555,27964.62191534244
W7A,283835.0,30,86895.43270415801,27868.62673985501
W7A,286300.0,30,86794.16812286607,27766.332557030884
W7A,288786.0,30,86692.81037250921,27667.705156052434
W7A,291293.0,30,86593.82649387598,27573.513190478938
W7A,293823.0,30,86490.77496080358,27465.069631677943
W7A,296374.0,30,86385.70413381749,27373.292703038755
W7A,298947.0,30,86289.44016690213,27268.39703224729
W7A,301543.0,30,86186.5848215602,27170.722163358525
W7A,304161.0,30,86088.61116850704,27081.371071294656
W7A,306802.0,30,85986.07145101826,26980.68629138752
W7A,309466.0,30,85890.93683110032,26893.87078701894
W7A,312153.0,30,85789.44925396156,26796.014739584763
W7A,314864.0,30,85690.79738681608,26704.80624167856
W7A,317598.0,30,85587.0161722564,26609.05350431322
W7A,320355.0,30,85486.8230233043,26513.285574312034
W7A,323137.0,30,85394.60380364797,26420.16375387701
