f,T,eps_real,eps_imag
100578.0,30,49599.403808636445,54319.61088148337
101451.0,30,49552.61145445818,53915.06111236048
102332.0,30,49500.29759270631,53503.766041893985
103221.0,30,49461.884359801,53096.71722919338
104117.0,30,49407.127071652925,52696.49255638962
105021.0,30,49357.58345135582,52299.94808335816
105933.0,30,49312.05325063875,51902.706236632395
106853.0,30,49265.28740903981,51521.12395915555
107781.0,30,49227.447188770304,51135.59107696066
108716.0,30,49177.73963577223,50750.680827110584
109660.0,30,49136.016307051614,50358.93134364727
110613.0,30,49077.11937218719,49988.33776691356
111573.0,30,49034.999992843135,49608.66247099426
112542.0,30,48989.18019634571,49234.50084828477
113519.0,30,48944.75009718288,48863.15213567302
114505.0,30,48905.99191374365,48489.3513782923
115499.0,30,48853.60265808801,48126.77505891917
116502.0,30,48805.777532680644,47779.46617257597
117513.0,30,48771.00789211017,47416.14086503492
118534.0,30,48724.29169199752,47062.03445038626
119563.0,30,48678.42145461154,46708.8242537437
120601.0,30,48633.916046852035,46358.79360035078
121648.0,30,48592.92896504939,46012.33096456357
122705.0,30,48549.54035508964,45672.763826153474
123770.0,30,48511.15377950733,45337.84475077904
124845.0,30,48456.204625526065,45006.06729522045
125929.0,30,48421.65710266766,44677.52514258604
127022.0,30,48384.75002771082,44333.50314983347
128125.0,30,48335.13963552059,44006.73563080714
129238.0,30,48294.72754065335,43685.58140103179
130360.0,30,48255.202931247084,43369.18247983647
131492.0,30,48210.516640201604,43043.74361468437
132634.0,30,48184.8318711663,42719.926252021745
133785.0,30,48139.78385284024,42405.84995961342
134947.0,30,48099.98555024004,42093.379403085615
136119.0,30,48044.258309598634,41789.269991685316
137300.0,30,48018.80956960306,41481.93518456284
138493.0,30,47965.61853516141,41184.89661887966
139695.0,30,47924.06509770874,40884.31658165451
140908.0,30,47891.501450383555,40585.35313748731
142132.0,30,47853.595143503895,40289.04671645384
143366.0,30,47814.293051778106,39985.05197016023
144611.0,30,47759.20243061608,39697.22489954866
145866.0,30,47712.27062672443,39407.244584757806
147133.0,30,47691.773685550615,39123.33182920232
148410.0,30,47650.39621259366,38841.25441247923
149699.0,30,47610.945524684386,38562.42661067711
150999.0,30,47573.15861105992,38282.62206078752
152310.0,30,47524.201024676004,38009.14838070819
153633.0,30,47495.86872886567,37737.16938942975
154966.0,30,47456.890384519786,37471.125028088194
156312.0,30,47416.12876114268,37201.58388448597
157669.0,30,47381.401708090074,36928.730902084724
159038.0,30,47340.81305839661,36668.7882804218
160419.0,30,47299.11189461632,36406.022914993264
161812.0,30,47266.461168619804,36146.17423976994
163217.0,30,47225.53111345944,35891.099395640274
164634.0,30,47187.458500481785,35632.60293988107
166064.0,30,47147.24522865185,35389.503311941975
167506.0,30,47113.85114780088,35132.29473969477
168960.0,30,47080.52402794976,34882.155122784105
170427.0,30,47039.6674868503,34636.42649315498
171907.0,30,47004.02158359031,34387.383503600344
173400.0,30,46962.15869028494,34148.44100656146
174906.0,30,46924.368319092835,33909.69830899911
176424.0,30,46889.23640325119,33667.77770807503
177956.0,30,46852.8942584243,33438.60186398988
179501.0,30,46815.76371621367,33200.79909035741
181060.0,30,46779.463484623346,32972.99947540749
182632.0,30,46734.832190712674,32742.197466167876
184218.0,30,46705.05188560293,32518.19240265977
185817.0,30,46670.11250234297,32294.953785447466
187431.0,30,46630.87744860742,32067.211044901094
189058.0,30,46591.94397065687,31843.080490919085
190700.0,30,46560.51217888311,31622.300261437154
192356.0,30,46516.55646032898,31405.707670991615
194026.0,30,46488.032878223705,31191.103501687132
195711.0,30,46454.73058919653,30973.606209078414
197410.0,30,46410.62741465105,30770.03823317805
199124.0,30,46373.76222494162,30550.57965314376
200853.0,30,46340.99145086997,30349.30564924346
202597.0,30,46304.409606503235,30139.766810997244
204356.0,30,46266.23009591627,29934.861233154268
206131.0,30,46231.750159887226,29742.622702016564
207921.0,30,46197.43627299832,29527.34132781335
209726.0,30,46166.836691109296,29329.00519705294
211547.0,30,46124.5261015393,29129.427943632745
213384.0,30,46091.915239674105,28936.95059171801
215237.0,30,46049.21703973868,28745.026765448078
217106.0,30,46015.055199853465,28547.779676741095
218991.0,30,45986.5105195106,28360.72883494195
220892.0,30,45944.158340486225,28173.370877114507
222810.0,30,45915.258185718696,27982.044447604654
224745.0,30,45878.180464919526,27796.525255564615
226696.0,30,45844.33472264564,27611.437101383763
228665.0,30,45806.97424813357,27427.831723599953
230650.0,30,45773.17879304819,27252.627123922262
232653.0,30,45736.03160177043,27069.76677707173
234673.0,30,45695.09720172598,26895.20341871831
236711.0,30,45661.9795562685,26717.249318460286
238766.0,30,45629.872893281296,26545.06736659321
240839.0,30,45587.98835586787,26370.547133564392
242930.0,30,45553.42602002828,26201.576271130754
245040.0,30,45516.68168235298,26041.703315741408
247167.0,30,45485.33964507578,25869.939892906164
249314.0,30,45453.20097052562,25702.78074867448
251478.0,30,45416.99700761257,25534.90192437769
253662.0,30,45380.0514816397,25378.166984535066
255864.0,30,45343.14687914954,25209.070528047676
258086.0,30,45305.105522234895,25046.91547445447
260327.0,30,45277.16360175796,24892.257497916326
262588.0,30,45245.69928175286,24722.4630192981
264868.0,30,45213.410852102264,24576.678080539834
267167.0,30,45167.28580767282,24415.64609565144
269487.0,30,45134.605784111314,24261.038952405383
271827.0,30,45098.10193680876,24098.253045916605
274187.0,30,45071.02236494261,23962.064266260033
276568.0,30,45031.078547290796,23798.872967809824
278970.0,30,44985.82150510465,23652.64931733226
281392.0,30,44968.436957520345,23513.827760078424
283835.0,30,44924.87401153654,23358.811205435766
286300.0,30,44886.80851082129,23215.452094357242
288786.0,30,44847.60592525376,23072.19231191791
291293.0,30,44810.64242122743,22931.75114237035
293823.0,30,44778.88707883386,22788.22833946227
296374.0,30,44746.08665217024,22652.10465612779
298947.0,30,44711.5756343743,22509.485987854787
301543.0,30,44672.5836602607,22371.143674118106
304161.0,30,44632.25458077995,22234.53896762979
306802.0,30,44597.909148050705,22098.34607865936
309466.0,30,44565.272631719556,21966.041321890727
312153.0,30,44530.9698810996,21834.100306803342
314864.0,30,44495.158313886095,21698.66259031777
317598.0,30,44456.49300578673,21568.60192143205
320355.0,30,44423.966469749656,21435.988808726543
323137.0,30,44384.01566777411,21309.755045940125
325943.0,30,44360.39743320678,21173.842141912544
328773.0,30,44322.64700356948,21052.29205125465
331628.0,30,44283.64320832976,20931.931218114143
334507.0,30,44252.58067407657,20805.008008394296
337412.0,30,44210.164284750856,20675.69078735659
340341.0,30,44177.99245423482,20561.123804969804
343297.0,30,44140.20088281056,20442.58584539314
346278.0,30,44112.33025707751,20314.035643573563
349284.0,30,44074.04462945023,20201.101983952907
352317.0,30,44039.94091243998,20079.44088910691
355376.0,30,44007.91900417731,19970.750074660973
358462.0,30,43971.15188505108,19851.334266826045
361574.0,30,43934.75022212589,19737.963121732017
364714.0,30,43901.62837210611,19624.355801335274
367881.0,30,43856.618112914315,19512.19331570496
371075.0,30,43829.01875147043,19401.02790012669
374297.0,30,43792.14950111882,19288.533297102553
377547.0,30,43755.58983195454,19174.76209565491
380825.0,30,43726.67573439747,19067.099758172917
384132.0,30,43684.58334988533,18957.620085804665
387468.0,30,43653.61979925858,18852.35686239248
390832.0,30,43612.555586255134,18742.572434595168
394225.0,30,43586.87802544219,18637.072442909328
397649.0,30,43556.48157945067,18533.50498322789
401101.0,30,43512.41602829272,18429.33742125046
404584.0,30,43474.27312022407,18328.496064930994
408097.0,30,43441.83085022618,18226.38994364326
411641.0,30,43408.18143120102,18121.993784747734
415215.0,30,43380.62769610927,18024.220546059143
