h,b,T,f
8.07299,0.00397188,25,0
8.29155,0.00888468,25,0
8.50613,0.0135637,25,0
8.66574,0.01773173,25,0
8.86377,0.02210014,25,0
9.15584,0.02624814,25,0
9.37042,0.03151829,25,0
9.57308,0.03456416,25,0
9.78400,0.03936572,25,0
10.04993,0.04406819,25,0
10.27416,0.05005069,25,0
10.76521,0.05563439,25,0
11.00363,0.05976271,25,0
11.49240,0.06524327,25,0
11.80832,0.06983212,25,0
12.21868,0.0750884,25,0
12.61300,0.07978701,25,0
12.97606,0.08463336,25,0
13.35808,0.0888187,25,0
13.77958,0.09383551,25,0
14.21778,0.09854899,25,0
14.53124,0.10269847,25,0
14.79226,0.10596026,25,0
15.09575,0.10942521,25,0
15.64100,0.11419092,25,0
16.14467,0.1192785,25,0
16.58278,0.12356231,25,0
17.05367,0.12805054,25,0
17.50071,0.13223697,25,0
17.96479,0.13674676,25,0
18.40398,0.14097689,25,0
18.94451,0.14560033,25,0
19.48262,0.14981801,25,0
19.93180,0.15440221,25,0
20.39162,0.1589839,25,0
20.92807,0.16329971,25,0
21.58374,0.16803562,25,0
22.26921,0.17398735,25,0
22.86528,0.17863175,25,0
23.40173,0.18277195,25,0
23.99780,0.18734035,25,0
24.57151,0.19220244,25,0
25.37501,0.19670339,25,0
25.94162,0.20070923,25,0
26.46773,0.20462935,25,0
27.14752,0.20887789,25,0
27.57417,0.21347222,25,0
28.20004,0.21724065,25,0
28.77954,0.22163202,25,0
29.68890,0.22665995,25,0
30.67370,0.23307284,25,0
31.65720,0.23854887,25,0
32.41145,0.2428424,25,0
33.10814,0.24684416,25,0
33.93997,0.25129461,25,0
34.66732,0.25528946,25,0
35.47200,0.25949757,25,0
36.30649,0.26371283,25,0
37.17078,0.26790711,25,0
38.06487,0.27213525,25,0
38.98877,0.27630495,25,0
39.94247,0.28046297,25,0
40.95578,0.28467386,25,0
42.02869,0.28889866,25,0
43.16121,0.29301215,25,0
44.45183,0.29734239,25,0
45.57526,0.30078784,25,0
46.82699,0.30456059,25,0
48.07872,0.30771428,25,0
49.37234,0.31024129,25,0
50.51206,0.31372264,25,0
51.57083,0.31783066,25,0
52.90683,0.32246652,25,0
54.15856,0.32556773,25,0
55.41029,0.32833974,25,0
56.66202,0.33094476,25,0
57.91375,0.33327305,25,0
59.16549,0.33543436,25,0
60.41722,0.33738574,25,0
61.66895,0.33924647,25,0
62.92068,0.34108334,25,0
64.17241,0.34276277,25,0
65.42414,0.34431815,25,0
66.67587,0.3458449,25,0
67.92761,0.34777402,25,0
69.17934,0.34899859,25,0
70.43107,0.35023431,25,0
71.68280,0.3512267,25,0
72.93453,0.35254829,25,0
74.18626,0.35405119,25,0
75.43799,0.3548241,25,0
76.68972,0.35587375,25,0
77.94146,0.35691862,25,0
79.19319,0.3579778,25,0
80.44492,0.35897496,25,0
81.69665,0.35996735,25,0
82.94838,0.36105039,25,0
84.20011,0.36199506,25,0
85.45184,0.36267256,25,0
86.70358,0.36355521,25,0
87.95531,0.3643997,25,0
89.20704,0.36519647,25,0
90.45877,0.36600279,25,0
91.71050,0.36679002,25,0
92.96223,0.36754385,25,0
94.21396,0.36835017,25,0
95.46570,0.36902766,25,0
96.71743,0.36969084,25,0
97.96916,0.37038742,25,0
99.22089,0.37149432,25,0
100.47262,0.37177104,25,0
101.72435,0.37238651,25,0
102.97608,0.37301153,25,0
104.22781,0.37363177,25,0
105.47955,0.37426156,25,0
106.73128,0.37481023,25,0
107.98301,0.37538754,25,0
109.23474,0.37600301,25,0
110.48647,0.3765326,25,0
111.73820,0.37708128,25,0
112.98993,0.37760132,25,0
114.24167,0.37812137,25,0
115.49340,0.37863188,25,0
116.74513,0.37911853,25,0
117.99686,0.37960041,25,0
119.24859,0.38012046,25,0
120.50032,0.38058326,25,0
121.75205,0.38106037,25,0
123.00379,0.38154225,25,0
124.25552,0.38216057,25,0
125.50725,0.38242968,25,0
126.75898,0.38282091,25,0
128.01071,0.38319782,25,0
129.26244,0.38366062,25,0
130.51417,0.38404708,25,0
131.76590,0.38439537,25,0
133.01764,0.38485339,25,0
134.26937,0.385216,25,0
135.52110,0.38556429,25,0
136.77283,0.38598891,25,0
138.02456,0.38629427,25,0
139.27629,0.38671412,25,0
140.52802,0.38702424,25,0
141.77976,0.38735822,25,0
143.03149,0.38772082,25,0
144.28322,0.38801186,25,0
145.53495,0.38836492,25,0
146.78668,0.38863687,25,0
148.03841,0.38903288,25,0
149.29014,0.38923803,25,0
150.54188,0.38957678,25,0
151.79361,0.3898535,25,0
153.04534,0.39022565,25,0
154.29707,0.39042604,25,0
155.54880,0.39078387,25,0
156.80053,0.39106059,25,0
158.05226,0.39137071,25,0
159.30399,0.39154247,25,0
160.55573,0.39177626,25,0
161.80746,0.39208638,25,0
163.05919,0.39226768,25,0
164.31092,0.39258734,25,0
165.56265,0.39276864,25,0
166.81438,0.39300243,25,0
168.06611,0.39327438,25,0
169.31785,0.39344614,25,0
170.56958,0.39371809,25,0
171.82131,0.39391371,25,0
173.07304,0.3940807,25,0
174.32477,0.39446716,25,0
175.57650,0.39482976,25,0
176.82823,0.3946914,25,0
178.07996,0.39496335,25,0
179.33170,0.39511602,25,0
180.58343,0.39527824,25,0
181.83516,0.39548817,25,0
183.08689,0.39567901,25,0
184.33862,0.39582215,25,0
185.59035,0.39597482,25,0
186.84208,0.3963361,25,0
188.09382,0.39656225,25,0
189.34555,0.39681642,25,0
190.59728,0.39688106,25,0
192.04600,0.39724913,25,0
193.10074,0.39735582,25,0
194.45097,0.39755922,25,0
195.60420,0.39764142,25,0
196.85594,0.39773344,25,0
198.10767,0.39773344,25,0
199.35940,0.39771912,25,0
200.61113,0.39780023,25,0
201.86286,0.39798631,25,0
203.11459,0.39803402,25,0
204.36632,0.39803402,25,0
205.61805,0.39843671,25,0
206.86979,0.39850828,25,0
208.12152,0.39866572,25,0
209.37325,0.3991476,25,0
210.62498,0.39926688,25,0
211.87671,0.39926688,25,0
213.12844,0.39935753,25,0
214.38017,0.39937184,25,0
215.63191,0.39950066,25,0
216.88364,0.39962471,25,0
218.13537,0.39966765,25,0
219.38710,0.39966765,25,0
220.63883,0.39966765,25,0
221.89056,0.39969628,25,0
223.14229,0.39976785,25,0
224.39403,0.39978978,25,0
225.64576,0.39997585,25,0
226.89749,0.40006842,25,0
228.14922,0.39998254,25,0
229.40095,0.39996823,25,0
230.65268,0.39996823,25,0
231.90441,0.39996823,25,0
233.15614,0.39996823,25,0
234.40788,0.39996823,25,0
235.65961,0.39999209,25,0
236.91134,0.40001594,25,0
238.16307,0.40006842,25,0
239.41480,0.40006842,25,0
240.66653,0.40006842,25,0
241.91826,0.40006842,25,0
243.17000,0.40006842,25,0
244.42173,0.40006842,25,0
245.67346,0.40006842,25,0
246.92519,0.40006842,25,0
248.17692,0.40006842,25,0
249.42865,0.40003026,25,0
250.44196,0.40050072,25,0
249.44037,0.40036073,25,0
248.41535,0.40039955,25,0
247.16361,0.40039955,25,0
245.91188,0.40039955,25,0
244.66015,0.40039955,25,0
243.40842,0.40039955,25,0
242.15669,0.40039955,25,0
240.90496,0.40039955,25,0
239.65323,0.40039955,25,0
238.40150,0.40039955,25,0
237.14976,0.40035661,25,0
235.89803,0.40029936,25,0
234.64630,0.40029936,25,0
233.39457,0.40029936,25,0
232.14284,0.40029936,25,0
230.89111,0.40029936,25,0
229.63938,0.40029936,25,0
228.38764,0.40028982,25,0
227.13591,0.40019916,25,0
225.88418,0.40021825,25,0
224.63245,0.40017531,25,0
223.38072,0.40009897,25,0
222.12899,0.40004649,25,0
220.87726,0.39999878,25,0
219.62552,0.39999878,25,0
218.37379,0.39999878,25,0
217.12206,0.39997492,25,0
215.87033,0.39985087,25,0
214.61860,0.39972205,25,0
213.36687,0.3996982,25,0
212.11514,0.39960755,25,0
210.86341,0.39959801,25,0
209.61167,0.39955029,25,0
208.35994,0.39949781,25,0
207.10821,0.39949781,25,0
205.85648,0.39949781,25,0
204.60475,0.39940716,25,0
203.35302,0.39939762,25,0
202.10129,0.39922586,25,0
200.84955,0.39920678,25,0
199.59782,0.39906649,25,0
198.34609,0.39909704,25,0
197.09436,0.39904933,25,0
195.84263,0.39900602,25,0
194.68939,0.39902254,25,0
193.33917,0.39907742,25,0
192.08743,0.39917735,25,0
190.83570,0.39905303,25,0
189.58397,0.39916669,25,0
188.33224,0.39903787,25,0
187.08051,0.39906649,25,0
185.82878,0.39899016,25,0
184.57705,0.3989663,25,0
183.32532,0.3989663,25,0
182.07358,0.3989663,25,0
180.82185,0.39888996,25,0
179.57012,0.39885657,25,0
178.31839,0.39876591,25,0
177.06666,0.39872297,25,0
175.81493,0.39868481,25,0
174.56320,0.39866572,25,0
173.31146,0.39865801,25,0
172.05973,0.39853583,25,0
170.80800,0.3984301,25,0
169.55627,0.39836818,25,0
168.30454,0.39822842,25,0
167.05281,0.39817268,25,0
165.80108,0.39756638,25,0
164.54934,0.39742126,25,0
163.29761,0.39731868,25,0
162.04588,0.39719018,25,0
160.79415,0.39713552,25,0
159.54242,0.39674535,25,0
158.29069,0.39651873,25,0
157.03896,0.39643762,25,0
155.78723,0.39628972,25,0
154.53549,0.39621338,25,0
153.28376,0.39602253,25,0
152.03203,0.39586986,25,0
150.75863,0.39574646,25,0
149.52857,0.39576967,25,0
148.27684,0.39542615,25,0
147.02511,0.39524962,25,0
145.77337,0.39511125,25,0
144.52164,0.39500629,25,0
143.26991,0.39472957,25,0
142.01818,0.39461506,25,0
140.76645,0.39446716,25,0
139.51472,0.39425723,25,0
138.26299,0.39403776,25,0
137.01126,0.39388508,25,0
135.75952,0.39373241,25,0
134.50779,0.39346045,25,0
133.25606,0.39330778,25,0
132.00433,0.39313125,25,0
130.75260,0.3928593,25,0
129.50087,0.39269231,25,0
128.24914,0.39246807,25,0
126.99740,0.39221997,25,0
125.74567,0.39204821,25,0
124.49394,0.39197664,25,0
123.24221,0.3915377,25,0
121.99048,0.39133254,25,0
120.73875,0.39103197,25,0
119.48702,0.39083635,25,0
118.23528,0.390531,25,0
116.98355,0.39028767,25,0
115.73182,0.39002526,25,0
114.48009,0.38974377,25,0
113.22836,0.38947182,25,0
111.97663,0.38917124,25,0
110.72490,0.38891837,25,0
109.47317,0.38857485,25,0
108.22143,0.38828858,25,0
106.96970,0.38795938,25,0
105.71797,0.38763971,25,0
104.46624,0.38732005,25,0
103.21451,0.38695268,25,0
101.96278,0.38666164,25,0
100.71105,0.38623224,25,0
99.38646,0.38538458,25,0
98.20758,0.38552135,25,0
96.95585,0.38514443,25,0
95.70412,0.38481522,25,0
94.45239,0.38433811,25,0
93.20066,0.38394211,25,0
91.94893,0.38355565,25,0
90.69719,0.38313103,25,0
89.44546,0.38263006,25,0
88.19373,0.38221498,25,0
86.94200,0.38175218,25,0
85.69027,0.3812703,25,0
84.43854,0.38075025,25,0
83.18681,0.38025406,25,0
81.93508,0.37971969,25,0
80.68334,0.37917102,25,0
79.43161,0.37861757,25,0
78.17988,0.37806412,25,0
76.92815,0.37749636,25,0
75.67642,0.37682841,25,0
74.43552,0.37613139,25,0
73.17296,0.37550681,25,0
71.92122,0.37482932,25,0
70.66949,0.37410888,25,0
69.41776,0.37334073,25,0
68.16603,0.37257736,25,0
66.91430,0.37174719,25,0
65.66257,0.37088839,25,0
64.41084,0.36999142,25,0
63.15911,0.36904675,25,0
61.90737,0.3680305,25,0
60.65564,0.36698086,25,0
59.40391,0.36582148,25,0
58.15218,0.36460963,25,0
56.90045,0.36328803,25,0
55.62704,0.36181289,25,0
54.39699,0.36088978,25,0
53.14525,0.35929317,25,0
51.94685,0.35700187,25,0
50.84616,0.35405499,25,0
49.62849,0.35158022,25,0
48.40385,0.34986715,25,0
47.10515,0.34722383,25,0
46.23093,0.34418456,25,0
44.97920,0.34084002,25,0
43.72747,0.3371949,25,0
42.47573,0.33335893,25,0
41.22400,0.32934644,25,0
40.00207,0.32529435,25,0
38.80995,0.32109626,25,0
37.64763,0.3169451,25,0
36.51511,0.31270535,25,0
35.41239,0.30845857,25,0
34.48765,0.30444905,25,0
33.38307,0.30005959,25,0
32.36651,0.29618834,25,0
31.41877,0.29188497,25,0
30.46507,0.28765808,25,0
29.51137,0.28338735,25,0
28.58748,0.27910201,25,0
27.69338,0.27490058,25,0
26.79929,0.27056556,25,0
25.93500,0.26633217,25,0
25.26188,0.26275308,25,0
24.39517,0.25841548,25,0
23.69182,0.25457833,25,0
22.88153,0.25027284,25,0
21.94138,0.24547889,25,0
21.19630,0.24150906,25,0
20.42142,0.23727012,25,0
19.64654,0.2328308,25,0
18.87166,0.2284146,25,0
18.12658,0.22407097,25,0
17.41130,0.21983782,25,0
16.69603,0.21555456,25,0
15.98075,0.21122121,25,0
15.26548,0.20681272,25,0
14.72902,0.20355228,25,0
14.02029,0.19909429,25,0
13.38788,0.19449899,25,0
12.58320,0.1897298,25,0
11.92753,0.1854048,25,0
11.30166,0.18122858,25,0
10.67580,0.17698859,25,0
10.04993,0.17275771,25,0
9.42407,0.1684321,25,0
8.82800,0.16426407,25,0
8.23194,0.16008602,25,0
7.58621,0.1549409,25,0
6.77600,0.14970441,25,0
6.11592,0.14426014,25,0
5.46025,0.139778,25,0
4.92379,0.13573688,25,0
4.35753,0.13139073,25,0
3.79128,0.12704235,25,0
3.30250,0.12299455,25,0
2.77255,0.11866257,25,0
2.25641,0.11440133,25,0
1.65737,0.10987928,25,0
1.03560,0.10457308,25,0
0.27066,0.09915272,25,0
-0.30293,0.093127,25,0
-0.89407,0.08836832,25,0
-1.40298,0.08358719,25,0
-1.88184,0.07913828,25,0
-2.44875,0.07416547,25,0
-2.93722,0.06969656,25,0
-3.42809,0.06513483,25,0
-3.92774,0.06056426,25,0
-4.43753,0.05664565,25,0
-4.83746,0.05273606,25,0
-5.14346,0.0497567,25,0
-5.65632,0.04429291,25,0
-6.04376,0.04021791,25,0
-6.48484,0.03588003,25,0
-6.92295,0.03119517,25,0
-7.40193,0.02661313,25,0
-7.81704,0.02193984,25,0
-8.27211,0.01719223,25,0
-8.68019,0.01282997,25,0
-9.07909,0.00846002,25,0
-9.52546,0.00365755,25,0
12.28788,0.00301246,100,0
12.55339,0.0077757,100,0
12.72104,0.01254674,100,0
13.03876,0.01776035,100,0
13.31074,0.0230066,100,0
13.56984,0.02785123,100,0
13.82003,0.03244758,100,0
14.14289,0.03771607,100,0
14.45748,0.04301377,100,0
14.66402,0.04671423,100,0
15.24230,0.05529893,100,0
15.51968,0.06065561,100,0
15.80619,0.06521846,100,0
16.14646,0.07052144,100,0
16.53748,0.07625649,100,0
16.88975,0.08174256,100,0
17.18480,0.08694509,100,0
17.52781,0.09217061,100,0
17.83933,0.09637214,100,0
18.09949,0.10040844,100,0
18.36293,0.10472855,100,0
18.64441,0.10853168,100,0
18.94244,0.11291513,100,0
19.31086,0.11761366,100,0
19.69987,0.12269186,100,0
20.05385,0.12758785,100,0
20.41149,0.13222456,100,0
20.79474,0.13679272,100,0
21.13670,0.14116368,100,0
21.42097,0.14493837,100,0
21.70067,0.14854439,100,0
21.88759,0.15203991,100,0
22.29757,0.15621974,100,0
22.67652,0.16018399,100,0
23.03416,0.16439766,100,0
23.40487,0.16868575,100,0
23.72601,0.17241575,100,0
23.98317,0.1759781,100,0
24.37106,0.17972887,100,0
24.72470,0.18408804,100,0
24.96967,0.18711557,100,0
25.24783,0.1909461,100,0
25.61879,0.19438858,100,0
25.87717,0.19731367,100,0
26.28428,0.20138831,100,0
26.78347,0.20600249,100,0
27.20057,0.21066445,100,0
27.77737,0.21459742,100,0
28.24415,0.21885526,100,0
28.62965,0.22324772,100,0
29.05057,0.22790211,100,0
29.49320,0.23170367,100,0
29.99985,0.23622773,100,0
30.58474,0.24157904,100,0
30.99186,0.24553546,100,0
31.59905,0.2495603,100,0
31.97756,0.25323732,100,0
32.38156,0.25655287,100,0
32.81952,0.26011543,100,0
33.38578,0.26446714,100,0
33.95518,0.2687997,100,0
34.57365,0.27311428,100,0
35.20377,0.27762796,100,0
35.85944,0.28213664,100,0
36.51511,0.2863994,100,0
37.20058,0.29060334,100,0
37.81265,0.29478134,100,0
38.44594,0.29849513,100,0
38.92320,0.30183511,100,0
39.81581,0.30625406,100,0
40.56833,0.31037085,100,0
41.41104,0.31457501,100,0
42.40503,0.31934774,100,0
43.37190,0.32324421,100,0
44.29022,0.32702984,100,0
45.38831,0.33116748,100,0
46.64817,0.33552501,100,0
47.89990,0.33914628,100,0
49.00432,0.34248783,100,0
49.79126,0.34557993,100,0
50.32576,0.34886808,100,0
50.81184,0.35129272,100,0
51.24845,0.354193,100,0
51.95711,0.35742008,100,0
52.86483,0.36085195,100,0
53.94845,0.36537908,100,0
55.17187,0.36926145,100,0
56.42360,0.37302823,100,0
57.67533,0.37655168,100,0
58.92706,0.37985567,100,0
60.17879,0.3828877,100,0
61.43052,0.38583624,100,0
62.68226,0.38854861,100,0
63.93399,0.39116794,100,0
65.13578,0.394016,100,0
66.18851,0.39660596,100,0
67.43004,0.39874782,100,0
68.58327,0.40097831,100,0
69.83501,0.40317981,100,0
71.08674,0.40522697,100,0
72.33847,0.40724037,100,0
73.59020,0.40888163,100,0
74.82089,0.41064418,100,0
76.09366,0.41289174,100,0
77.33470,0.41440317,100,0
78.62922,0.41608005,100,0
79.80480,0.41783745,100,0
81.10059,0.41968718,100,0
82.35232,0.4212855,100,0
83.60405,0.4228361,100,0
84.85578,0.42441057,100,0
86.10751,0.42588484,100,0
87.35924,0.42732571,100,0
88.61098,0.42874749,100,0
89.86271,0.43011203,100,0
