b,mu,T
0.00146501,2809.25688,25
0.00609982,2858.92843,25
0.01042839,2902.72191,25
0.0147577,2958.64993,25
0.01908606,2998.85393,25
0.02372106,3051.76295,25
0.02774379,3096.1263,25
0.03207249,3141.98384,25
0.0364012,3187.91359,25
0.04072997,3234.91147,25
0.0450587,3281.37528,25
0.04938712,3322.49842,25
0.05254055,3365.93826,25
0.05612105,3400.47218,25
0.06044976,3446.40193,25
0.06477849,3492.86574,25
0.0691072,3538.79548,25
0.07343594,3585.2593,25
0.07776461,3630.65498,25
0.08209328,3676.05066,25
0.08642195,3721.44634,25
0.09075069,3767.91015,25
0.09507927,3811.70363,25
0.09953894,3855.69131,25
0.10392912,3906.55389,25
0.10864288,3961.15688,25
0.11239393,3992.75228,25
0.11672241,4035.071,25
0.12116408,4078.77693,25
0.12537946,4120.92831,25
0.12970801,4164.18773,25
0.13403655,4207.44714,25
0.13836496,4248.57028,25
0.14269348,4291.29563,25
0.14702199,4334.02097,25
0.15113189,4374.57546,25
0.15567879,4415.7332,25
0.16000707,4454.72007,25
0.16433543,4494.77508,25
0.16866371,4533.76196,25
0.17299197,4572.21477,25
0.17732019,4610.13352,25
0.18164838,4647.51819,25
0.18597648,4683.30067,25
0.19030454,4718.54908,25
0.19463257,4753.26342,25
0.19881796,4786.23658,25
0.20232732,4814.26509,25
0.20617365,4840.31631,25
0.21050149,4871.82626,25
0.21482913,4900.1318,25
0.21908846,4934.34259,25
0.2234845,4958.11082,25
0.22781216,4986.65062,25
0.23213925,5005.74867,25
0.23646655,5028.32846,25
0.24079361,5046.97771,25
0.24522875,5068.72381,25
0.24940737,5079.06481,25
0.25396692,5100.46044,25
0.25858217,5115.65919,25
0.26260287,5126.25734,25
0.26723528,5136.03003,25
0.27156148,5140.31288,25
0.27588762,5143.66627,25
0.28021356,5143.68689,25
0.28453898,5135.01347,25
0.28886472,5131.62864,25
0.29319042,5127.57871,25
0.29755403,5122.48019,25
0.30149806,5112.4615,25
0.30616651,5098.80465,25
0.31049158,5084.38485,25
0.31500876,5067.36875,25
0.31840414,5056.37368,25
0.32202472,5039.41551,25
0.32634953,5020.65945,25
0.33067417,4998.93416,25
0.33499927,4985.04842,25
0.33932356,4957.57676,25
0.34400842,4931.37562,25
0.34797234,4906.08332,25
0.35155765,4888.08664,25
0.35614077,4859.54272,25
0.36046517,4833.90751,25
0.36478953,4807.73824,25
0.36911387,4781.0349,25
0.37343823,4754.86562,25
0.37776257,4728.16228,25
0.3820869,4701.45894,25
0.3864112,4674.22153,25
0.39073554,4647.51819,25
0.39505991,4621.34892,25
0.39878285,4593.75193,25
0.00271448,3491.77698,100
0.00662074,3528.11415,100
0.01094893,3565.49883,100
0.01527709,3602.34944,100
0.01960528,3639.73411,100
0.02393344,3676.58472,100
0.0282616,3713.43533,100
0.03258972,3749.75188,100
0.03691791,3787.13655,100
0.04124604,3823.4531,100
0.04557423,3860.83777,100
0.0499454,3886.27878,100
0.05427414,3932.75299,100
0.05855895,3975.43325,100
0.06288677,4006.63802,100
0.06734046,4046.30088,100
0.07154337,4085.07937,100
0.07587121,4116.65578,100
0.0801993,4152.43826,100
0.08452743,4188.7548,100
0.08885549,4224.00321,100
0.09318359,4259.78569,100
0.09751165,4295.0341,100
0.10165914,4329.19374,100
0.10616777,4365.53092,100
0.11049584,4400.77932,100
0.11482387,4435.49367,100
0.1191518,4468.60581,100
0.12347986,4503.85422,100
0.12780776,4536.4323,100
0.13213579,4571.14664,100
0.13646366,4603.19065,100
0.14079156,4635.76872,100
0.14511946,4668.3468,100
0.14964764,4700.93519,100
0.15377507,4730.29855,100
0.15810291,4761.80849,100
0.16243065,4791.71623,100
0.16675836,4821.08991,100
0.17108604,4849.92952,100
0.17541362,4877.16692,100
0.17954328,4908.84698,100
0.18385862,4933.80528,100
0.18839645,4960.43289,100
0.19272374,4982.91215,100
0.19705094,5003.74076,100
0.2009792,5025.5159,100
0.20547008,5052.00413,100
0.21003277,5070.42233,100
0.21435972,5087.05518,100
0.21868672,5104.67939,100
0.22301362,5120.70139,100
0.22734037,5134.05306,100
0.23166711,5147.40473,100
0.23599366,5157.552,100
0.24032009,5165.563,100
0.24464651,5173.57401,100
0.24919133,5180.12846,100
0.2536048,5182.44831,100
0.25714599,5177.73698,100
0.26044969,5176.74111,100
0.26423399,5174.57256,100
0.26819854,5168.25397,100
0.27234306,5153.15111,100
0.27684878,5140.99593,100
0.28117382,5126.04206,100
0.28549909,5114.82666,100
0.28994333,5083.908,100
0.29371388,5057.21208,100
0.29756918,5028.32846,100
0.30170897,4995.24028,100
0.30646377,4955.68515,100
0.31048105,4909.41516,100
0.3148039,4857.94052,100
0.31912669,4805.60197,100
0.3234491,4746.85462,100
0.32777128,4684.3688,100
0.33209314,4616.54232,100
0.33641474,4544.4433,100
0.34073602,4467.00361,100
0.34505705,4385.29139,100
0.34896813,4311.53828,100
0.35246624,4236.58472,100
0.35585827,4158.7803,100
0.35873829,4093.29036,100
0.36125368,4036.10108,100
0.36377855,3982.41427,100
0.36647716,3910.32938,100
0.36864354,3855.59567,100
0.37097729,3796.82605,100
0.37361573,3727.67111,100
0.37567217,3671.48014,100
0.37805649,3613.1349,100
0.38081509,3535.32405,100
0.38393417,3448.69078,100
0.38705311,3359.8831,100
0.38993206,3276.56868,100
0.39190995,3217.72391,100
0.39418853,3150.52708,100
0.39639489,3083.03249,100
0.39855726,3021.66065,100
