T,p_v,f,b
1.17406,51280.14,100000,0.1
3.02065,50432.11,100000,0.1
4.86727,49691.17,100000,0.1
6.71393,49057.32,100000,0.1
8.56056,48316.38,100000,0.1
10.40716,47521.9,100000,0.1
12.25377,46727.41,100000,0.1
14.10043,46093.56,100000,0.1
15.94708,45459.71,100000,0.1
17.79369,44665.23,100000,0.1
19.57614,43855.13,100000,0.1
21.48699,43343.98,100000,0.1
23.33363,42656.59,100000,0.1
25.18025,41915.65,100000,0.1
27.02690,41228.25,100000,0.1
28.87358,40701.49,100000,0.1
30.72019,39907.01,100000,0.1
32.56685,39273.16,100000,0.1
34.41355,38799.94,100000,0.1
36.26016,38005.45,100000,0.1
38.10685,37478.69,100000,0.1
39.95341,36537.94,100000,0.1
41.80016,36210.99,100000,0.1
43.64688,35791.32,100000,0.1
45.49354,35157.47,100000,0.1
47.34021,34577.16,100000,0.1
49.18693,34157.49,100000,0.1
51.03357,33470.09,100000,0.1
52.88034,33211.06,100000,0.1
54.72697,32470.12,100000,0.1
56.57375,32264.62,100000,0.1
58.42041,31630.77,100000,0.1
60.26724,31585.91,100000,0.1
62.11388,30898.51,100000,0.1
63.96059,30425.3,100000,0.1
65.80741,30326.89,100000,0.1
67.65409,29800.13,100000,0.1
69.50085,29487.55,100000,0.1
71.34770,29496.23,100000,0.1
73.19443,29130.1,100000,0.1
75.04120,28871.06,100000,0.1
76.88796,28558.48,100000,0.1
78.73480,28567.16,100000,0.1
80.54779,28299.47,100000,0.1
82.42850,28584.53,100000,0.1
84.27535,28593.21,100000,0.1
86.12220,28601.89,100000,0.1
87.96905,28610.57,100000,0.1
89.81601,28994.07,100000,0.1
91.66299,29431.11,100000,0.1
93.50989,29600.42,100000,0.1
95.35688,30091.01,100000,0.1
97.20388,30581.59,100000,0.1
99.05094,31286.35,100000,0.1
100.89796,31884.02,100000,0.1
102.74507,32749.42,100000,0.1
104.59221,33721.9,100000,0.1
106.43940,34855.01,100000,0.1
108.28660,36041.68,100000,0.1
110.13391,37603.15,100000,0.1
111.98121,39111.08,100000,0.1
113.82863,40993.81,100000,0.1
115.67610,43090.73,100000,0.1
117.52363,45348.28,100000,0.1
118.97579,47721.69,100000,0.1
0.83843,300317.37,100000,0.2
2.68491,299090.61,100000,0.2
4.53142,297946.13,100000,0.2
6.37802,297137.28,100000,0.2
8.10434,295789.03,100000,0.2
10.07101,294788.25,100000,0.2
11.91757,293833.13,100000,0.2
13.76413,292878.01,100000,0.2
15.61069,291922.89,100000,0.2
17.45726,291021.32,100000,0.2
19.25424,290104.2,100000,0.2
21.15043,289271.72,100000,0.2
22.99702,288423.69,100000,0.2
24.84363,287629.21,100000,0.2
26.69022,286781.18,100000,0.2
28.53685,286040.24,100000,0.2
30.38351,285406.39,100000,0.2
32.23015,284718.99,100000,0.2
34.07675,283924.51,100000,0.2
35.92346,283451.29,100000,0.2
37.77012,282817.44,100000,0.2
39.71939,282227.17,100000,0.2
41.46352,281871.01,100000,0.2
43.31020,281290.7,100000,0.2
45.15693,280924.57,100000,0.2
47.00369,280611.99,100000,0.2
48.85038,280085.23,100000,0.2
50.69719,279986.82,100000,0.2
52.54403,279941.96,100000,0.2
54.39075,279522.29,100000,0.2
56.23760,279530.97,100000,0.2
58.08438,279325.48,100000,0.2
59.94979,278998.14,100000,0.2
61.77815,279557.02,100000,0.2
63.62503,279672.79,100000,0.2
65.47199,280056.29,100000,0.2
67.31884,280064.97,100000,0.2
69.16583,280555.55,100000,0.2
71.01283,281046.13,100000,0.2
72.85985,281643.81,100000,0.2
74.70688,282241.48,100000,0.2
76.55397,283053.33,100000,0.2
78.40109,283972.27,100000,0.2
80.25698,284906.59,100000,0.2
82.09545,286184.95,100000,0.2
83.94269,287478.7,100000,0.2
85.79000,289040.18,100000,0.2
87.63733,290655.19,100000,0.2
89.48471,292430.84,100000,0.2
91.39231,294722.75,100000,0.2
93.17975,296910.5,100000,0.2
95.02738,299524.76,100000,0.2
96.87505,302239.4,100000,0.2
98.72289,305548.46,100000,0.2
100.47729,308302.45,100000,0.2
102.41866,312463.7,100000,0.2
104.26678,316702.4,100000,0.2
106.11501,321315.9,100000,0.2
107.96339,326411.31,100000,0.2
109.81191,331988.62,100000,0.2
111.66057,338047.82,100000,0.2
113.50940,344642.47,100000,0.2
115.35834,351611.93,100000,0.2
117.20735,358795.57,100000,0.2
118.87609,365725.01,100000,0.2
120.08415,371873.93,100000,0.2
1.00198,161580.74,200000,0.1
2.84857,160732.72,200000,0.1
4.69498,159295.7,200000,0.1
6.54142,157912.23,200000,0.1
8.38788,156635.84,200000,0.1
10.23429,155198.82,200000,0.1
12.08076,153922.44,200000,0.1
13.92722,152646.06,200000,0.1
15.77365,151262.58,200000,0.1
17.62015,150093.29,200000,0.1
19.55984,148676.18,200000,0.1
21.31308,147540.52,200000,0.1
23.15960,146478.31,200000,0.1
25.00607,145201.93,200000,0.1
26.85253,143925.55,200000,0.1
28.69903,142756.25,200000,0.1
30.54555,141694.04,200000,0.1
32.39207,140578.29,200000,0.1
34.23859,139516.09,200000,0.1
36.08512,138453.88,200000,0.1
37.93165,137391.68,200000,0.1
39.70927,136050.98,200000,0.1
41.62474,135374.35,200000,0.1
43.47131,134472.78,200000,0.1
45.31789,133571.21,200000,0.1
47.16445,132616.09,200000,0.1
49.01104,131768.06,200000,0.1
50.85765,130973.58,200000,0.1
52.70427,130232.64,200000,0.1
54.55091,129545.24,200000,0.1
56.39752,128750.76,200000,0.1
58.24418,128116.91,200000,0.1
60.07214,127356.41,200000,0.1
61.93751,126902.75,200000,0.1
63.78426,126590.17,200000,0.1
65.63089,125849.23,200000,0.1
67.47770,125750.82,200000,0.1
69.32438,125170.52,200000,0.1
71.17114,124911.48,200000,0.1
73.01799,124920.16,200000,0.1
74.86481,124821.75,200000,0.1
76.71155,124455.63,200000,0.1
78.55840,124464.31,200000,0.1
80.42275,124433.89,200000,0.1
82.25224,124963.57,200000,0.1
84.09911,125025.8,200000,0.1
85.94615,125677.02,200000,0.1
87.79310,126006.97,200000,0.1
89.64017,126765.27,200000,0.1
91.48723,127470.03,200000,0.1
93.33433,128335.43,200000,0.1
95.18151,129415,200000,0.1
97.02871,130601.66,200000,0.1
98.87598,132002.5,200000,0.1
100.71277,133368.74,200000,0.1
102.57066,135286.08,200000,0.1
104.41810,137275.9,200000,0.1
106.26559,139426.36,200000,0.1
108.11312,141683.91,200000,0.1
109.96077,144369.82,200000,0.1
111.80844,147109.27,200000,0.1
113.65616,150009.35,200000,0.1
115.50396,153177.16,200000,0.1
117.11138,155886.75,200000,0.1
118.66937,159155.18,200000,0.1
119.86593,161894.06,200000,0.1
0.98760,113712,400000,0.05
2.83408,112489.16,400000,0.05
4.68054,111212.78,400000,0.05
6.52699,109882.85,400000,0.05
8.37349,108713.56,400000,0.05
10.21998,107544.26,400000,0.05
12.06645,106267.88,400000,0.05
13.91294,105098.58,400000,0.05
15.75929,103425.97,400000,0.05
17.60577,102224.55,400000,0.05
19.54568,101493.78,400000,0.05
21.29910,101010.39,400000,0.05
23.14565,100001.73,400000,0.05
24.99222,99100.16,400000,0.05
26.83889,98519.85,400000,0.05
28.68537,97297.01,400000,0.05
30.53201,96609.62,400000,0.05
32.37870,96072.15,400000,0.05
34.22546,95784.55,400000,0.05
36.07194,94565.28,400000,0.05
37.91856,93806.49,400000,0.05
39.81639,92757.91,400000,0.05
41.61189,92592.34,400000,0.05
43.45856,92012.03,400000,0.05
45.30528,91592.36,400000,0.05
47.15197,91065.59,400000,0.05
48.99876,90860.1,400000,0.05
50.84543,90279.79,400000,0.05
52.69223,90127.84,400000,0.05
54.53908,90136.53,400000,0.05
56.38578,89663.31,400000,0.05
58.23262,89618.45,400000,0.05
60.06063,89023.45,400000,0.05
61.92619,89207.46,400000,0.05
63.77304,89216.14,400000,0.05
65.61995,89439,400000,0.05
67.46688,89715.41,400000,0.05
69.31381,89991.81,400000,0.05
71.16073,90214.67,400000,0.05
73.00759,90276.9,400000,0.05
74.85463,90928.12,400000,0.05
76.70156,91204.52,400000,0.05
78.54859,91802.19,400000,0.05
80.29297,92266.5,400000,0.05
82.24266,93051.08,400000,0.05
83.93590,94033.55,400000,0.05
85.81676,94820.4,400000,0.05
87.78411,96097.04,400000,0.05
89.63118,96841.06,400000,0.05
91.41817,97509.67,400000,0.05
93.32544,98725.35,400000,0.05
95.17252,99483.65,400000,0.05
97.01972,100670.31,400000,0.05
98.86696,101964.06,400000,0.05
100.58352,102978.55,400000,0.05
102.56161,105161.38,400000,0.05
104.53215,107053.66,400000,0.05
106.22252,108497.76,400000,0.05
108.10366,110199.78,400000,0.05
109.95111,112189.6,400000,0.05
111.79855,114179.43,400000,0.05
113.64605,116329.89,400000,0.05
115.49355,118533.9,400000,0.05
117.34116,121059.17,400000,0.05
118.71861,123139.04,400000,0.05
119.79505,125833.55,400000,0.05
