b,p_v,f,T
0.07042694,15440.18,100000,100
0.07233416,16750.48,100000,100
0.07403664,18001.43,100000,100
0.07581621,19248.67,100000,100
0.07737586,20554.14,100000,100
0.07919894,21979.73,100000,100
0.08160591,23761.78,100000,100
0.08368232,25478.39,100000,100
0.08569189,27424.52,100000,100
0.08781552,29436.17,100000,100
0.09023016,31633.27,100000,100
0.09274423,34060.69,100000,100
0.09486583,36461.45,100000,100
0.09695297,38882.66,100000,100
0.09893909,41332.86,100000,100
0.10123847,44004.14,100000,100
0.10353453,46464.09,100000,100
0.10563505,50084.73,100000,100
0.10836365,53735.13,100000,100
0.11117371,57288.3,100000,100
0.11409226,62249.24,100000,100
0.11759694,67595.71,100000,100
0.12086218,73135.29,100000,100
0.12326904,77901.34,100000,100
0.12625933,83425.2,100000,100
0.12966421,89916.77,100000,100
0.13375249,97479.57,100000,100
0.13666951,104530.02,100000,100
0.14013491,112060.1,100000,100
0.14470573,122081.37,100000,100
0.14854011,132523.84,100000,100
0.15338508,144289.34,100000,100
0.15744945,156817.72,100000,100
0.16258502,169930.1,100000,100
0.16679399,183444.69,100000,100
0.17025716,196777.74,100000,100
0.17397031,210443.04,100000,100
0.17838151,224335.13,100000,100
0.18419983,243816.52,100000,100
0.18936189,266230.66,100000,100
0.19307331,281701.01,100000,100
0.197458,299102.04,100000,100
0.20129547,317514.19,100000,100
0.20582646,338800.47,100000,100
0.21068233,359532.48,100000,100
0.21527135,384591.28,100000,100
0.22082133,414440.18,100000,100
0.22604663,446260.35,100000,100
0.23101988,473230.41,100000,100
0.23652987,505229.38,100000,100
0.24204446,541185.55,100000,100
0.24889471,584032.72,100000,100
0.25630642,635756.45,100000,100
0.26314626,681641.22,100000,100
0.26776072,727793.35,100000,100
0.27306828,772436.09,100000,100
0.27960273,824237.71,100000,100
0.28343222,859594.13,100000,100
0.28866911,899743.3,100000,100
0.29465086,948157.7,100000,100
0.04419363,14240.69,200000,100
0.04556884,15560.33,200000,100
0.04705518,16901.55,200000,100
0.04818956,18047.9,200000,100
0.04932913,19718.43,200000,100
0.05091491,21374.28,200000,100
0.05239865,23216.83,200000,100
0.0542378,25468.17,200000,100
0.05560884,27208.46,200000,100
0.05696581,29531.68,200000,100
0.05850935,31929.23,200000,100
0.06054208,34815.47,200000,100
0.06158717,36913.6,200000,100
0.06295276,39363.29,200000,100
0.06410305,41246.25,200000,100
0.06525371,43479.44,200000,100
0.06654655,46111.63,200000,100
0.06809651,49469.12,200000,100
0.06997351,53061.85,200000,100
0.07191144,57428.61,200000,100
0.07340979,61515.79,200000,100
0.07551101,66398.76,200000,100
0.0772556,70871.69,200000,100
0.07879021,74943.97,200000,100
0.08059802,79538.08,200000,100
0.08325659,86192.68,200000,100
0.08519868,93892.77,200000,100
0.08715557,100905.36,200000,100
0.08997368,108962.64,200000,100
0.09215945,117613.75,200000,100
0.09503499,127258.44,200000,100
0.09780217,139891.48,200000,100
0.10129866,154007.64,200000,100
0.10427564,168038.65,200000,100
0.10678011,180591.44,200000,100
0.10961408,192098.93,200000,100
0.11187986,204690.02,200000,100
0.1151758,221552.88,200000,100
0.11857959,240755.92,200000,100
0.12164936,258849.83,200000,100
0.12465033,275450.43,200000,100
0.12732591,296188.97,200000,100
0.12960792,313695.36,200000,100
0.13280411,334432.31,200000,100
0.13659867,362307.72,200000,100
0.14005164,390737.74,200000,100
0.14350354,418709.83,200000,100
0.14701761,446012.94,200000,100
0.15138891,484256.89,200000,100
0.15608414,533566.87,200000,100
0.16032982,574899.2,200000,100
0.16491903,623791.04,200000,100
0.16994629,677053.09,200000,100
0.17498087,736772.06,200000,100
0.18024068,799955.02,200000,100
0.18466086,861850.66,200000,100
0.18813619,908354.62,200000,100
0.19202397,966414.73,200000,100
0.19699923,1029853.49,200000,100
0.20088314,1080944.51,200000,100
0.02564778,23262.72,400000,100
0.0266264,25314.71,400000,100
0.02822855,29444.06,400000,100
0.0291639,31766.86,400000,100
0.03035509,35211.4,400000,100
0.03154205,38519.35,400000,100
0.03264264,42133.85,400000,100
0.03355534,44876.81,400000,100
0.03587451,52467.29,400000,100
0.03688942,56766.8,400000,100
0.04015073,69191.55,400000,100
0.04115195,74256.27,400000,100
0.04219951,78925.7,400000,100
0.04336511,83967.17,400000,100
0.04448752,89483.32,400000,100
0.04532779,94382.01,400000,100
0.04672807,101269.33,400000,100
0.04805991,108443.85,400000,100
0.04957804,117341.75,400000,100
0.05095628,124991.62,400000,100
0.05214414,133858.32,400000,100
0.05512716,148374.79,400000,100
0.05704843,163065.45,400000,100
0.05900386,177901.71,400000,100
0.06159953,196783.53,400000,100
0.06384724,215735.57,400000,100
0.06626651,234953.81,400000,100
0.06805588,254987.27,400000,100
0.07108112,276219.3,400000,100
0.07335876,300176.03,400000,100
0.07508886,321282.86,400000,100
0.0765669,341654.53,400000,100
0.07881829,360465.18,400000,100
0.08094218,382435.25,400000,100
0.08341662,410659.75,400000,100
0.08558793,437317.44,400000,100
0.08748103,462077.66,400000,100
0.08882893,484059.3,400000,100
0.09025913,504866.39,400000,100
0.09246749,533194.02,400000,100
0.09450516,562220.88,400000,100
0.09698371,597380.83,400000,100
0.09931756,634160.9,400000,100
0.10233545,671052.21,400000,100
