f,mu_imag
320578.72036, 10.27310
326002.56259, 11.37913
328858.12504, 12.41775
333475.87904, 13.37217
337229.33505, 14.41199
343057.31043, 15.65711
345814.50284, 16.76762
350434.73861, 18.18090
356102.25576, 19.73843
359919.29822, 21.01430
363645.47817, 22.65976
370855.14190, 24.51450
372902.21364, 26.29883
376831.51761, 28.62644
384358.75437, 30.88322
386977.08649, 33.05451
393377.31935, 35.41937
396472.91942, 38.32766
404695.99556, 41.57560
409530.33793, 44.94116
415423.86082, 48.44824
421063.42104, 52.59597
426528.72933, 56.01533
430391.65057, 60.09514
436123.71469, 64.17590
441437.47522, 68.82201
446217.58766, 72.88823
453436.67301, 78.17712
457566.65780, 82.87582
464968.60608, 88.74948
468692.38842, 94.32038
474510.99357, 101.56322
481420.42258, 109.08433
488862.25810, 118.28516
495813.11852, 127.92963
503072.89645, 136.84434
510054.50786, 148.55080
518447.04742, 159.84608
526216.95315, 171.90662
533700.10139, 185.34334
540982.48957, 199.96342
549910.69020, 216.15843
557764.26917, 231.51182
566811.27543, 249.60973
576029.16341, 270.75399
584865.24615, 292.42800
594477.37107, 310.98996
605686.03314, 336.22105
616267.37371, 359.28563
625886.79312, 389.75707
635146.03103, 415.90140
645302.49956, 451.32925
657131.41343, 483.16469
669033.67888, 524.73167
677650.62235, 565.27987
695980.68077, 610.67135
705209.13697, 655.60332
721738.86018, 708.03629
734835.64676, 762.68955
752544.70559, 824.63537
768637.14042, 882.99698
784458.23430, 956.71545
799497.62576, 1019.34697
816119.98382, 1096.03168
837000.39685, 1180.45349
861902.35181, 1269.92694
876391.32795, 1363.08792
901490.79327, 1461.32510
925300.42926, 1557.49501
950693.54421, 1680.89638
983558.16250, 1829.58946
1023628.13638, 1989.53367
1048275.67458, 2117.86409
1093011.34924, 2266.05111
1117619.01919, 2377.94564
1162844.51208, 2533.02723
1216315.28838, 2693.32313
1282757.69154, 2886.94068
1350133.31225, 3028.46363
1431895.10416, 3159.74999
1513324.02830, 3260.02668
1573109.12724, 3314.61195
1668837.82330, 3278.51262
1766877.90403, 3233.07206
1890799.58630, 3113.83108
2019356.08456, 2957.79913
2146717.63497, 2811.02941
2228618.62814, 2648.96929
2330918.73073, 2479.53406
2424790.34619, 2319.44787
2522488.53162, 2170.58894
2630073.23762, 2037.85374
2732509.76062, 1915.48012
2830339.53649, 1793.10520
2929237.40560, 1679.06288
3028371.11629, 1570.62240
3147141.79760, 1467.44189
3261915.09840, 1374.01781
3388415.90585, 1279.31430
3519327.28489, 1193.77664
3636484.88487, 1119.79204
3802244.06433, 1045.27550
3934152.90963, 978.78346
4083363.81461, 918.96924
4236993.58280, 855.97742
4391744.04397, 801.81642
4564741.21265, 757.94899
4737285.89700, 706.89576
4962182.44554, 661.34553
5147087.75097, 622.93201
5359692.08990, 583.28256
5580047.79014, 547.77226
5846947.34598, 513.23973
6095888.14822, 483.31582
6374167.05012, 451.46496
6700387.96025, 426.51948
7022796.08861, 401.82083
7290814.65545, 379.09169
7651678.93763, 354.09286
8021590.89156, 333.33087
8415432.72719, 316.22777
8890352.58262, 299.10158
9337498.05321, 280.49231
9801663.21116, 265.74863
10349443.65146, 251.23417
10903479.24273, 238.09207
11505887.78917, 225.95517
12131796.19434, 214.05671
12886333.77725, 203.46586
