T,mu
-48.29487,2642.82394
-45.35122,2663.57309
-42.22729,2684.58439
-38.97650,2707.94030
-35.72566,2731.96352
-32.47491,2754.65211
-29.22412,2778.00802
-25.80982,2792.81021
-22.72248,2825.38715
-19.47164,2849.41037
-16.06209,2884.40065
-12.96982,2899.45364
-9.94855,2925.78337
-6.46789,2950.96789
-3.21743,2969.52648
0.03317,2990.21314
2.35684,3015.02691
5.14793,3034.70445
8.34948,3057.49127
11.37015,3075.32093
14.48164,3100.98688
17.73252,3125.67741
20.98336,3149.70063
24.30665,3177.12714
26.89834,3196.97455
30.01366,3219.10105
33.26455,3243.79158
36.51544,3268.48211
39.76628,3292.50533
43.01712,3316.52855
46.26782,3338.54984
49.61706,3361.72375
52.76867,3374.58467
56.01872,3387.26359
59.26825,3392.60208
62.51793,3399.94251
65.76710,3399.94251
69.01626,3399.94251
72.26562,3402.61176
75.48151,3396.12064
78.76418,3405.94832
82.01293,3399.94251
85.26177,3395.27133
88.51037,3387.26359
91.75880,3376.58660
95.00722,3365.90962
98.25564,3355.23263
100.99526,3342.88593
104.75234,3331.87672
108.00067,3319.86511
111.24890,3306.51888
114.49723,3294.50727
117.74547,3281.16103
120.99375,3268.48211
124.40552,3247.06747
127.49036,3243.79158
130.73869,3231.77997
133.98701,3219.76836
137.23539,3208.42406
140.48376,3197.07976
143.73223,3187.07008
146.98084,3179.06234
150.19616,3164.35068
153.47838,3167.71805
156.72740,3165.71611
159.97699,3171.72192
163.22615,3171.72192
166.47569,3177.06041
169.72532,3183.73353
172.97500,3191.07395
176.06058,3198.47314
179.83561,3209.09137
183.08556,3220.43567
186.33552,3231.77997
189.58562,3245.12620
192.83576,3259.13975
196.08590,3273.15329
199.50040,3290.74510
202.58628,3302.51501
205.83657,3318.53049
209.08671,3332.54403
212.33676,3345.22295
215.58671,3356.56725
218.83639,3363.90768
222.08598,3369.91349
225.30137,3356.26393
228.58319,3353.89801
231.12254,3310.39950
232.22479,3215.85166
232.81547,3097.74275
233.42573,2974.04155
233.96001,2802.36490
234.37379,2682.88004
234.69745,2561.48492
234.89920,2465.03884
235.25114,2334.91306
235.72435,2218.00006
235.81534,2111.28925
236.20909,1991.30821
236.48967,1880.47381
236.67001,1726.89679
237.00402,1586.18935
237.33979,1439.79785
237.77939,1272.38603
238.05553,1133.75203
238.83162,979.66903
239.11618,812.44146
239.58902,690.32342
239.94215,577.21409
240.65527,449.37623
241.24843,326.97220
242.21731,199.59909
243.72435,85.59604
245.92177,22.83589
