f,mu_real
104002.81795, 3006.78535
112471.96783, 3006.11380
121226.28644, 3006.11380
130661.63903, 2997.92512
140830.89939, 2979.98845
151792.38250, 2976.73879
163607.22761, 2976.73879
176341.68781, 2976.73879
190067.13045, 2973.49267
204086.13105, 2960.30976
220805.73185, 2962.15910
237992.26966, 2962.15910
256516.53127, 2962.15910
276482.63916, 2962.15910
298622.95442, 2952.65528
321198.03666, 2962.15910
346200.20595, 2975.11528
373151.04314, 3007.75422
402200.10467, 3041.99564
433519.85453, 3141.89725
467276.89248, 3234.10173
503279.11884, 3314.80880
542879.83936, 3417.30180
588260.55236, 3509.71001
630711.43849, 3591.23413
676244.26024, 3638.92457
732873.15987, 3680.08681
793061.24294, 3673.46751
851232.55677, 3652.48521
913659.32415, 3587.31791
986023.24379, 3519.20128
1065812.06289, 3451.02437
1148728.61765, 3330.79383
1244740.84623, 3142.78297
1310135.26261, 2981.52875
1383555.71708, 2794.55371
1444011.48883, 2581.68172
1504157.31849, 2365.52600
1549657.81744, 2160.37434
1603948.73549, 1975.99927
1659178.69371, 1795.18459
1704909.17192, 1612.69744
1748925.29454, 1476.11401
1805837.01339, 1337.11379
1853548.10573, 1215.45794
1932191.12910, 1114.20975
1977824.25725, 1009.93913
2063007.77125, 900.08088
2146410.73535, 801.10422
2221037.33304, 731.70448
2307604.29267, 662.47764
2382163.41551, 614.15637
2447132.17043, 571.29553
2526119.19514, 529.00483
2614044.30443, 487.38750
2700721.21954, 455.11574
2791703.37215, 419.26602
2920745.41509, 379.77494
3065218.07465, 348.41778
3197547.94471, 317.45560
3356674.63928, 286.80108
3533570.28116, 259.67132
3714272.33864, 236.34914
3879393.32845, 219.41257
4039119.59267, 205.22242
4215036.18890, 190.32271
4390303.88457, 176.43134
4620779.50169, 161.24369
4870129.28915, 147.94995
5161678.20116, 134.82245
5479514.62058, 122.81151
5810765.06424, 111.98972
6145814.55606, 103.32576
6485539.56104, 95.30447
6768184.06980, 89.44704
7099895.80276, 83.29750
7391572.18066, 78.48416
7673678.87416, 73.91886
8105876.19128, 68.24518
8474786.79790, 63.97491
8851011.61600, 59.74927
9341182.53008, 55.58195
9695865.82230, 52.37409
10038248.24813, 50.00573
10480787.42518, 46.58330
10926792.76630, 43.85870
11386828.98128, 41.24856
11889575.38271, 38.76484
