h,b,T,f,branch
24.62357,0.00163,25,10000,r
28.07308,27.5697,25,10000,r
30.32302,50.32847,25,10000,r
34.16636,75.54307,25,10000,r
37.71427,103.63202,25,10000,r
41.50128,137.41927,25,10000,r
44.78811,159.33284,25,10000,r
46.05173,178.67268,25,10000,r
51.25624,202.7603,25,10000,r
55.56312,227.13325,25,10000,r
59.4008,257.33529,25,10000,r
64.68206,280.265,25,10000,r
72.22543,302.17002,25,10000,r
78.15158,323.60648,25,10000,r
86.95433,351.14283,25,10000,r
105.43342,381.14778,25,10000,r
125.85143,401.29082,25,10000,r
155.33595,419.89593,25,10000,r
198.49711,435.95193,25,10000,r
259.52851,449.39698,25,10000,r
338.29226,458.32604,25,10000,r
415.96577,463.47597,25,10000,r
494.5475,466.83522,25,10000,r
573.29729,469.62801,25,10000,r
653.14661,471.89876,25,10000,r
730.79345,473.71254,25,10000,r
809.54132,475.65964,25,10000,r
888.12007,477.70938,25,10000,r
967.03716,479.60226,25,10000,r
1045.78465,481.38454,25,10000,r
1124.53224,483.21261,25,10000,r
1165.17633,484.22965,25,10000,r
1164.7966,485.03688,25,10000,f
1073.72944,482.9556,25,10000,f
994.98239,481.36756,25,10000,f
916.99689,479.56491,25,10000,f
837.48594,477.15611,25,10000,f
758.73874,475.50074,25,10000,f
679.99062,473.44049,25,10000,f
600.64965,471.31227,25,10000,f
522.49341,468.89648,25,10000,f
444.84345,465.71454,25,10000,f
364.98921,461.27518,25,10000,f
286.22954,454.13782,25,10000,f
205.97321,442.27595,25,10000,f
142.9429,426.64033,25,10000,f
103.47077,409.49654,25,10000,f
80.02269,392.42864,25,10000,f
65.50276,375.18968,25,10000,f
52.81576,355.98772,25,10000,f
44.49511,339.14918,25,10000,f
35.90834,321.48739,25,10000,f
28.15128,299.20474,25,10000,f
19.13279,276.43372,25,10000,f
14.04156,254.81845,25,10000,f
9.0158,234.79725,25,10000,f
6.12718,217.80476,25,10000,f
1.23536,198.96841,25,10000,f
-2.68959,174.67873,25,10000,f
-6.71946,149.47047,25,10000,f
-12.29252,123.82512,25,10000,f
-15.75731,101.41089,25,10000,f
-20.05022,71.82102,25,10000,f
-22.50802,51.34603,25,10000,f
-27.12003,26.27714,25,10000,f
-29.91166,0.0085,25,10000,f
23.23721,0.23248,100,10000,r
26.22426,28.77264,100,10000,r
28.11247,50.66508,100,10000,r
31.06676,76.63648,100,10000,r
35.02722,99.59415,100,10000,r
36.8783,116.84795,100,10000,r
40.3,142.61391,100,10000,r
44.39816,163.79446,100,10000,r
46.09104,178.44868,100,10000,r
50.48144,199.50302,100,10000,r
55.16573,224.66507,100,10000,r
60.15536,248.68407,100,10000,r
66.61717,272.71096,100,10000,r
75.23651,297.19414,100,10000,r
83.78207,318.01412,100,10000,r
92.64515,331.86216,100,10000,r
105.41529,349.19565,100,10000,r
138.5221,372.11516,100,10000,r
195.40276,387.95701,100,10000,r
282.10155,397.15943,100,10000,r
371.94527,402.33477,100,10000,r
462.11547,406.05496,100,10000,r
554.36516,408.68636,100,10000,r
644.90987,410.70671,100,10000,r
735.45459,412.15499,100,10000,r
827.77682,413.39737,100,10000,r
919.19216,414.31566,100,10000,r
1010.6075,415.20108,100,10000,r
1102.02284,416.09941,100,10000,r
1182.23195,416.95458,100,10000,r
1254.2346,417.81583,100,10000,r
1254.94027,418.82906,100,10000,f
1137.57324,417.72499,100,10000,f
1046.15791,416.48449,100,10000,f
954.74257,415.7157,100,10000,f
863.32723,414.65286,100,10000,f
769.82603,414.0882,100,10000,f
681.47601,412.41543,100,10000,f
589.08122,410.36652,100,10000,f
496.90409,408.07929,100,10000,f
406.25054,404.77963,100,10000,f
314.83521,400.14006,100,10000,f
223.41987,393.12907,100,10000,f
140.99022,379.51701,100,10000,f
97.77282,362.42786,100,10000,f
77.38474,345.91349,100,10000,f
60.92823,327.34977,100,10000,f
46.44978,304.65233,100,10000,f
39.63695,287.88787,100,10000,f
30.43193,268.41878,100,10000,f
22.51676,246.91073,100,10000,f
16.0502,224.59643,100,10000,f
9.33567,198.17873,100,10000,f
3.76913,174.81676,100,10000,f
-1.26046,150.80285,100,10000,f
-5.11848,126.84397,100,10000,f
-9.26602,99.6871,100,10000,f
-11.64713,82.15853,100,10000,f
-14.00608,65.18089,100,10000,f
-16.91196,50.49479,100,10000,f
-17.79053,33.80637,100,10000,f
-19.71954,18.28388,100,10000,f
-20.28799,0.08811,100,10000,f
