b,p_v,f,T
0.0246131496600451,4375.7895074543,100000,25
0.0262759459363765,5122.52154293998,100000,25
0.0276465140285933,5801.0338834621,100000,25
0.0286690465110257,6355.08331472365,100000,25
0.0299461292018131,7078.47945682685,100000,25
0.0315081361137159,8082.82219252272,100000,25
0.0331516181831054,9153.44621194366,100000,25
0.0351351105961634,10452.1993220741,100000,25
0.0369677776908594,11836.6632362179,100000,25
0.0386145331554235,13184.0250403687,100000,25
0.0406286888842722,14807.0378751164,100000,25
0.0430595414510865,16907.9609642841,100000,25
0.045968524908073,20124.3327013069,100000,25
0.0487188648731098,22979.7096904696,100000,25
0.0523893369794226,27351.0995304121,100000,25
0.0563363419137952,32285.2089450949,100000,25
0.0610223542817443,39394.734260857,100000,25
0.0651448556630842,46117.4776770826,100000,25
0.0700528594969976,54437.0218524421,100000,25
0.0737068559783272,62160.9161978142,100000,25
0.0786862871910587,72768.7270627964,100000,25
0.0840021149963897,85186.7694724544,100000,25
0.0896770654171684,99723.960910994,100000,25
0.0943546714969651,113873.473716202,100000,25
0.100729011985144,132205.188401368,100000,25
0.109107571542595,158664.655125865,100000,25
0.116478577130519,188847.153978879,100000,25
0.127086946874478,230433.18256261,100000,25
0.13666165874008,269756.79243125,100000,25
0.145894142205582,315791.008280784,100000,25
0.156885785398311,372759.372031494,100000,25
0.168705537370803,436371.061796109,100000,25
0.180102816598014,506619.46592968,100000,25
0.189497080627378,564287.721248823,100000,25
0.19938135474276,628520.32692401,100000,25
0.0246131496600451,1314.76319777529,100000,100
0.0257095595941709,1452.3283864312,100000,100
0.0268548098742197,1604.2871793209,100000,100
0.0280510761274962,1786.90243373583,100000,100
0.0299461292018131,2091.83878620086,100000,100
0.0312801004325972,2349.35355789097,100000,100
0.0331516181831054,2682.69579527973,100000,100
0.0348808251999388,3063.33489305552,100000,100
0.0372372772208672,3586.09548201183,100000,100
0.038896037730134,4061.09788433246,100000,100
0.0409248768956454,4561.03731627806,100000,100
0.0427479041067504,5080.21804691302,100000,100
0.0443289757912257,5611.7671161441,100000,100
0.0466412000562327,6408.002744416,100000,100
0.0487188648731098,7256.7856931531,100000,100
0.0512600682172552,8286.42772854684,100000,100
0.0543270061820987,9620.40327106476,100000,100
0.057577441922254,11355.9138416737,100000,100
0.0601422692676787,12753.8779580108,100000,100
0.0637406376531269,14930.3375961395,100000,100
0.0665800088549301,16907.9609642841,100000,100
0.0705635532386667,19793.3182432995,100000,100
0.0731734130274184,22229.9648252619,100000,100
0.0781168063106425,26458.7320154641,100000,100
0.0815965739813444,29963.3685575599,100000,100
0.0864785735425605,35368.7285406596,100000,100
0.0909893444904397,40723.3913217415,100000,100
0.0964333223219016,47672.8711451564,100000,100
0.100729011985144,54437.0218524421,100000,100
0.1067557232589,63726.7438704698,100000,100
0.110704184703438,72167.7785786597,100000,100
0.117327719917926,85186.7694724544,100000,100
0.122554165108529,96470.3285266738,100000,100
0.129886695766273,112933.068487537,100000,100
0.134690678117157,125788.186511008,100000,100
0.142749347732602,148480.242259251,100000,100
0.14802906743801,166758.828514612,100000,100
0.158029501576852,198481.067764301,100000,100
0.163874372231352,221074.074274313,100000,100
0.173679129640786,260955.603351646,100000,100
0.180102816598014,293080.412902768,100000,100
0.190878537056649,348832.585428283,100000,100
0.197938360372447,391775.447080532,100000,100
