f,mu_imag
10206.49762,11.93565
19913.63572,12.33055
34191.14762,13.33472
49124.42666,14.42411
66637.24742,15.87692
94411.52622,18.20535
133625.11395,21.74905
192769.68887,28.09769
242235.57803,34.43265
314827.60730,46.61456
379740.15734,61.98659
453850.35532,91.29982
540796.97910,144.24783
597050.20046,201.13813
662868.45286,293.61532
751432.70026,468.71895
836032.50598,710.66197
915296.46461,1029.68346
1037494.07614,1570.96271
1148312.85998,2069.68446
1289635.43137,2494.38292
1519076.26158,2756.43066
1854129.11241,2440.16531
2269816.69517,1793.99900
2937568.51521,1201.58802
3525081.68288,896.62560
4295301.72880,663.29595
5082893.77517,529.44848
6378719.59730,387.41847
7974025.37308,289.43040
9796239.19100,228.20021
