f,p_v,T,b
99611.1496816816,3443.01816485459,25,0.025
122935.839423765,4594.82662859113,25,0.025
154105.187736471,6417.82488374617,25,0.025
185795.646268016,8308.54671352416,25,0.025
234724.474607079,11604.9640510969,25,0.025
287438.434756034,15964.9008946462,25,0.025
325604.467706857,19747.6086459213,25,0.025
374631.30135489,25956.6129436703,25,0.025
441235.097705168,36809.7663427888,25,0.025
499822.228867249,49123.9042275592,25,0.025
588683.084386849,74027.5096941406,25,0.025
698765.800514198,114996.868941168,25,0.025
785403.916518843,151153.958454428,25,0.025
882784.062455851,195684.635760837,25,0.025
1000000,253334.263054688,25,0.025
100390.368266566,1562.90074580387,100,0.025
111961.671609239,1962.7997294485,100,0.025
119163.193076572,2284.75191564428,100,0.025
132898.310082112,2869.35075942839,100,0.025
142552.983572437,3340.00180757179,100,0.025
158984.079939569,4258.80346699474,100,0.025
173212.280731298,5110.26323610908,100,0.025
190190.060796216,6321.08392844227,100,0.025
205602.676914288,7470.52156030641,100,0.025
227521.266528181,9382.00185570114,100,0.025
245959.127713019,11430.0332405954,100,0.025
272179.978837346,14138.2539568938,100,0.025
298858.294019529,17755.805105328,100,0.025
325604.467706857,21305.7115127468,100,0.025
346547.773843214,24800.4238346773,100,0.025
392562.336115515,32106.7470175872,100,0.025
427694.506227423,39714.0877466728,100,0.025
458765.261067575,46935.7711617244,100,0.025
492093.215362665,56319.6089429889,100,0.025
544553.569484474,72911.6344347958,100,0.025
588683.084386849,88827.7808972542,100,0.025
641366.982866083,111556.120745828,100,0.025
687960.418126633,133859.462412017,100,0.025
743711.332683494,165575.990399815,100,0.025
803980.188086997,195684.635760837,100,0.025
896649.423178868,245754.409651295,100,0.025
984536.475054141,290442.84755966,100,0.025
14764.0238378773,1738.22319503226,25,0.05
19393.1364939249,2391.26643730037,25,0.05
26076.1610609719,3391.1188263045,25,0.05
33722.4237786691,4594.82662859113,25,0.05
43951.9353623209,6417.82488374617,25,0.05
60969.1279202595,9525.58859374453,25,0.05
75245.5015704975,12520.6054374353,25,0.05
95061.2200955622,17224.5449507213,25,0.05
120095.359555687,23695.7350219153,25,0.05
148216.579018086,31622.7766016838,25,0.05
180093.962613331,40938.9974587565,25,0.05
220539.109989456,53810.9565766751,25,0.05
274309.135047482,76310.75528105,25,0.05
351990.792239725,125969.049454648,25,0.05
465970.812348366,217636.067871971,25,0.05
548813.396453276,294887.926734717,25,0.05
651440.550062722,424588.608156175,25,0.05
732210.933938025,558086.923830029,25,0.05
849051.454209604,756184.84341854,25,0.05
939565.890428047,949669.651166205,25,0.05
1000000,1088777.94262736,25,0.05
15113.2206148258,709.452760420581,100,0.05
17253.8744226308,838.460966938458,100,0.05
19242.6091810343,946.789206221234,100,0.05
21628.4491938565,1102.08821622015,100,0.05
24310.103174173,1263.52288838177,100,0.05
27324.2483102673,1448.60462707797,100,0.05
30237.191829337,1635.76275948482,100,0.05
34252.0816984609,1904.07204678116,100,0.05
38200.0822317243,2182.98188550393,100,0.05
42936.4089857579,2541.04989413426,100,0.05
47144.9149038133,2869.35075942839,100,0.05
53822.5744298372,3391.1188263045,100,0.05
58639.3988339324,3829.24766728513,100,0.05
66945.1501757816,4594.82662859113,100,0.05
74081.9408798984,5267.88012785649,100,0.05
83267.1640019787,6225.80122614505,100,0.05
92143.9880952417,7357.91247460313,100,0.05
102764.788236372,8828.97506421121,100,0.05
111092.637887986,10122.2496624121,100,0.05
126827.925843799,12712.2268974116,100,0.05
137105.803278079,14574.323008616,100,0.05
152909.040851219,18027.5486175998,100,0.05
166593.559055362,21305.7115127468,100,0.05
184353.521659227,25956.6129436703,100,0.05
200852.147960848,31622.7766016838,100,0.05
220539.109989456,38525.8277792309,100,0.05
240276.14743718,46228.2711251294,100,0.05
267971.116944832,58056.6861337096,100,0.05
289686.951825536,68613.8216786344,100,0.05
320569.474897988,86170.0213457776,100,0.05
338540.654198178,100304.232972455,100,0.05
377561.893697493,125969.049454648,100,0.05
404990.660878853,151153.958454428,100,0.05
444686.705176156,189829.680199443,100,0.05
484483.719651217,234807.735963843,100,0.05
527842.348050625,286064.772582066,100,0.05
570617.619520163,343257.513947601,100,0.05
626547.951968176,437684.281235413,100,0.05
677322.125039168,517273.603165422,100,0.05
749529.091981203,659570.485725975,100,0.05
797739.785593675,767757.865540501,100,0.05
889689.732655455,978960.505998496,100,0.05
939565.890428047,1139536.47835921,100,0.05
1000000,1267366.94162275,100,0.05
14649.4271692846,8564.80891517953,25,0.1
17253.8744226308,10434.4522742086,25,0.1
22140.0024690221,13925.1368621001,25,0.1
27537.9950862998,18027.5486175998,25,0.1
34520.0221721499,23695.7350219153,25,0.1
41618.7795029238,29758.7562197858,25,0.1
49017.9709328304,36809.7663427888,25,0.1
59098.1116338935,46935.7711617244,25,0.1
78234.9870889374,66560.8711479818,25,0.1
101175.682369923,94391.7497959668,25,0.1
121034.818004096,120357.992135046,25,0.1
150544.528083569,160621.89647182,25,0.1
190190.060796216,224348.661522279,25,0.1
225755.272415435,290442.84755966,25,0.1
265891.155708101,376008.696134728,25,0.1
315612.340826022,509476.328632355,25,0.1
374631.30135489,690319.484908131,25,0.1
434412.047764816,893690.898631568,25,0.1
519680.044734063,1286763.34420831,25,0.1
584113.793449065,1640739.28915031,25,0.1
656536.51156079,2092090.53636646,25,0.1
698765.800514198,2435249.90805231,25,0.1
14649.4271692846,4594.82662859113,100,0.1
17119.9518178678,5513.46728684658,100,0.1
18798.0012925274,6131.95479545249,100,0.1
21460.5716388173,7247.00083479845,100,0.1
23934.1832873027,8059.95197026134,100,0.1
27537.9950862998,9525.58859374453,100,0.1
30237.191829337,10594.1462274146,100,0.1
34252.0816984609,12331.8724394272,100,0.1
37609.3743072001,13715.2322499956,100,0.1
43272.2835134269,15964.9008946462,100,0.1
47513.710907004,18027.5486175998,100,0.1
54667.9333814193,21631.7845262529,100,0.1
59098.1116338935,24058.3861223593,100,0.1
67468.8355799912,28433.2077010648,100,0.1
75245.5015704975,32598.1243530797,100,0.1
85236.5881653652,39115.4458614188,100,0.1
93591.2385472306,44845.1044188353,100,0.1
104378.853237226,53810.9565766751,100,0.1
112837.503437216,62637.4073098911,100,0.1
127820.050492653,77478.652345766,100,0.1
139259.242041327,88827.7808972542,100,0.1
155310.691605215,111556.120745828,100,0.1
169210.14434351,129854.338551132,100,0.1
187249.052046639,158200.715465968,100,0.1
202423.334790888,184149.907040555,100,0.1
229301.075313661,234807.735963843,100,0.1
245959.127713019,269202.541496146,100,0.1
274309.135047482,338083.321691493,100,0.1
298858.294019529,399561.020304111,100,0.1
330718.542133192,494232.611351608,100,0.1
357519.300867313,575300.112700108,100,0.1
395633.195843611,722501.994186883,100,0.1
431040.191012412,853883.097588867,100,0.1
476991.893566528,1105441.13195944,100,0.1
515646.347517463,1306456.59881115,100,0.1
553106.546361859,1665849.96447655,100,0.1
584113.793449065,2029494.42567432,100,0.1
631449.188527083,2667604.07414926,100,0.1
656536.51156079,3105163.21515161,100,0.1
693342.060093241,3783000.61250676,100,0.1
14879.5169508362,42847.5625425807,25,0.2
19093.2502439726,56319.6089429889,25,0.2
23564.0764469808,71812.5796466456,25,0.2
28189.3201744569,88827.7808972542,25,0.2
33986.2209481592,109874.54702164,25,0.2
40341.5853404865,133859.462412017,25,0.2
47885.3918553102,165575.990399815,25,0.2
56398.6924678051,204807.401007598,25,0.2
66425.5295579319,253334.263054688,25,0.2
78846.9884173298,327967.745591941,25,0.2
92143.9880952417,405676.097282047,25,0.2
109374.754110704,517273.603165422,25,0.2
125843.501953278,620691.773581953,25,0.2
149376.018632305,815848.461100356,25,0.2
170533.808307281,1009154.78464322,25,0.2
191677.842339811,1229446.8612121,25,0.2
224002.985747509,1544025.09118851,25,0.2
253746.069139883,1797286.92233262,25,0.2
278617.544395597,1998902.24949624,25,0.2
303552.282309393,2223134.29947812,25,0.2
14995.9135206905,33097.0219672756,100,0.2
17388.8446509068,39115.4458614188,100,0.2
19093.2502439726,44169.1186571844,100,0.2
21797.639988541,51414.0474701801,100,0.2
23934.1832873027,56319.6089429889,100,0.2
27753.4139187324,67579.5512246285,100,0.2
30237.191829337,74027.5096941406,100,0.2
35336.4852593863,87488.809433061,100,0.2
38800.0680519466,98792.2678605127,100,0.2
43951.9353623209,113263.430095478,100,0.2
48637.4990349412,129854.338551132,100,0.2
55526.5698799154,148875.495173842,100,0.2
61926.7335086867,173295.098673413,100,0.2
69064.5997285532,201720.176911322,100,0.2
76427.3376122095,231268.293068257,100,0.2
85236.5881653652,273322.548654633,100,0.2
94323.3657507755,323024.028118785,100,0.2
106847.60833626,393538.120722616,100,0.2
116409.881653829,458089.005062521,100,0.2
128819.936139822,549674.437803702,100,0.2
144791.977935199,659570.485725975,100,0.2
158984.079939569,767757.865540501,100,0.2
174567.251823464,907368.380572759,100,0.2
194688.411446889,1105441.13195944,100,0.2
212111.953545835,1326451.24859952,100,0.2
231094.806838588,1640739.28915031,100,0.2
249822.260469825,1968771.21340874,100,0.2
272179.978837346,2510360.81788239,100,0.2
289686.951825536,3058356.6317297,100,0.2
305926.851628344,3560009.7494568,100,0.2
14535.719986959,103397.936897238,25,0.3
16337.9653079443,116756.837181468,25,0.3
18221.1295581072,131841.692761898,25,0.3
20163.6211009203,148875.495173842,25,0.3
22663.6549359044,173295.098673413,25,0.3
26076.1610609719,201720.176911322,25,0.3
30002.4941961382,242049.958877011,25,0.3
35336.4852593863,299401.035572196,25,0.3
39409.4774902199,343257.513947601,25,0.3
43951.9353623209,393538.120722616,25,0.3
49401.4191117364,458089.005062521,25,0.3
14535.719986959,90187.2446346142,100,0.3
16987.0687050837,106587.060563448,100,0.3
18652.0933511707,120357.992135046,100,0.3
21460.5716388173,140099.954655542,100,0.3
23381.1747740397,155816.030838206,100,0.3
26901.7191148946,184149.907040555,100,0.3
29538.5498786982,207941.873489071,100,0.3
34252.0816984609,249515.555149274,100,0.3
37317.4546347051,277505.610414653,100,0.3
42936.4089857579,332987.124131541,100,0.3
46415.8883361278,376008.696134728,100,0.3
50965.4430233675,424588.608156175,100,0.3
