f,mu_real
10130.88289,3062.84741
18598.97762,3063.47241
30585.39492,3067.06637
40268.10236,3069.37072
53270.52924,3069.37338
68149.07651,3070.70698
88444.32922,3072.52758
107857.96015,3066.38759
165511.55122,3078.58438
204762.33452,3098.54475
261953.78233,3116.80473
339970.70302,3189.94159
437033.78976,3428.29775
567235.15371,3893.32201
695113.68084,4314.05968
825268.72167,4437.52706
933391.90149,4244.54594
1028458.72164,3247.05454
1097431.49628,1940.83343
1143779.74187,1368.98333
1195858.29254,932.36929
1255235.42966,612.93430
1329081.23885,364.13198
1379510.40828,248.65128
1463276.28952,140.58033
1623991.73050,58.31810
1701970.56361,39.72283
1781672.24263,27.19088
1850297.36184,18.86674
1979008.59750,10.12185
